Artikel,Kategorie
"Zwanzig Aspekte von Innovationskultur, um digitale Lösungen zu entwickeln – Wie steht es bei Ihnen?",Digital
Bekanntgabe der nominierten Lösungen des Forum Day 2020,Digital
Digitalisierung im Stadion – die Entwicklung einer mobilen Spieltags-App,Digital
Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Digital
Sound of Colleagues – Geräusche aus dem Büro,Digital
Teil 4/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Was bedeutet “Agil” wirklich?,Digital
Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030,Digital
Research Salon Online via ZOOM,Digital
Unsere Empfehlung: Online Brainstorming Tool „Miro“,Digital
Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,Digital
"Die Gewinner des Coronavirus? Teamview, Zoom und Co.",Digital
Angstbefreites Scheitern – ein Interview mit Prof. Dr. Andrea Back in der HZ,Digital
Kostenloses E-Learning zu Präventionsmassnahmen des Coronavirus,Digital
Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen,Digital
Die Digital-Entrepreneurship-Werkstatt auf der LEARNTEC2020,Digital
Cellulo: mit einem Roboter Schreiben lernen,Digital
Big Data in der Lehre (be)greifbar machen,Digital
Mehr (digitale) Privatsphäre durch besondere Kleidung?,Digital
Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards,Digital
3 spannende KI-Startups vom «World Summit AI» in Amsterdam,Digital
Jami – sicher chatten durch Blockchain,Digital
Frank Thelen und die Digitalisierung der Schule: einfach mal machen!,Digital
Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.,Digital
Bachelorstudierende entwickeln innovative Ideen mit Hilfe des «IoT Service Kits»,Digital
Wie fühlt es sich an von Robotern bekocht zu werden?,Digital
Eddy: ein KI-Reiseassistent per Chat und Sprachnachricht,Digital
eLearning an Hochschulen – fehlende Bereitschaft der Dozierenden?,Digital
"45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»",Digital
Digitaltag Schweiz 2019: In unserer Digital-Entrepreneurship-Werkstatt spüren Schülerinnen und Schüler ersten Unternehmergeist,Digital
Mit dem Selfie zur mobilen Bewerbung?,Digital
Clockify – ein Zeiterfassungssystem für projektübergreifende Teams,Digital
«Microsoft Teams»: eine Vereinigung von bisher separaten Teamarbeitstools,Digital
Die Entwicklung zur Mikromobilität in Europa: Der E-Tretroller,Digital
Die Zukunft des Lernens: ein Goldman Sachs Briefing,Digital
3. Startfeld Innovationsforum zum Thema “Jäger & Sammler: Mehrwert durch Datennutzung”,Digital
"Jäger, Hirten, Krtiker – Eine Utopie für die digitale Gesellschaft (Buchreview)",Digital
Replika: Mit einem Bot über Gefühle reden,Digital
Privacy International: Eine Organisation gegen den Datenkapitalismus,Digital
Künstliche Intelligenz und Kunst: Ersetzt KI bald auch die Künstler,Digital
Bund und Verbände lancieren Cybersecurity-Schnelltest für KMU,Digital
Safefood.ai – Mit künstlicher Intelligenz zu mehr Lebensmittelsicherheit,Digital
Wie Videoüberwachung einen neuen Make-up-Stil hervorbringt,Digital
Neue EU-Urheberrechtsreform: Ein Filter für das Internet,Digital
Changing the Game: Der Aufstieg von Sports Analytics,Digital
"Google Duplex: Guten Tag, ich möchte einen Tisch für 4 Personen am Mittwochabend reservieren",Digital
IOTA: Das Zahlungssystem im “Internet of Things”,Digital
"eSports Boom: Der Sport, der keiner sein darf",Digital
Smarte Zigaretten – wie Philip Morris das Internet of Things ad absurdum führt,Digital
Garagisten und die Digitale Transformation,Digital
Highlights aus dem Kurzreport „Transformation in der Praxis“,Digital
Wie Digital Corporate Publishing heute funktioniert,Digital
Und was bedeutet die Digitalisierung für unsere Branche?,Digital
(Nicht) noch ein Sprachassistenten oder „Hallo Magenta!“,Digital
Bildungseinrichtungen digital transformiert,Digital
Wer die Leitungsfunktion für digitale Transformation inne hat,Digital
"Die Numerokratie greift um sich – Wirken Rankings, Likes und Sternchen wie selbstverordnete Freiheitsberaubung?",Digital
Was lesen Digital Manager? Fachzeitschriften vs. Soziale Medien,Digital
Webbrowser – Was gibt es neben Google Chrome und Safari sonst noch?,Digital
Arbeitsform „Freelancer“ unter die Lupe genommen,Digital
Überraschungen beim digitalen Reifegrad – Vortrag von Andrea Back,Digital
Digital Twin – Was bringt eine virtuelle Vorlage am Beispiel Predictive Maintainance?,Digital
Der Tisch als Zentrum in der Zukunftswohnung,Digital
Verhältnis Digitalisierung in Deutschland vs. USA – wo sind die Unterschiede?,Digital
Maschinelles Lernen bei den Zooglern im neuen Office,Digital
Drohnen im Zirkus Cirque du Soleil – Wie verändert die Technologie die Zirkusaufführung?,Digital
Global Learning Landscape 2021,Future of Work
Online-Veranstaltung am 22./23. Feb:  «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»,Future of Work
Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona),Future of Work
Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen,Future of Work
Management Weiterbildung – Megatrends sprechen für Aufwind,Future of Work
Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,Future of Work
Kleines E-Learning Glossar,Future of Work
E-LEARNING SO GEFRAGT WIE NOCH NIE,Future of Work
ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober,Future of Work
Storytelling im eLearning Kontext – Tipps für die Praxis,Future of Work
“Turbo-Digitizing at the Expense of Security?” Webinar mit Mario Silic und Shira Kaplan,Future of Work
Die Sprache der Videokonferenzen: die wichtigsten Handzeichen,Future of Work
Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?,Future of Work
Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist,Future of Work
Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Future of Work
Teil 4/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Was bedeutet “Agil” wirklich?,Future of Work
Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030,Future of Work
Unsere Empfehlung: Online Brainstorming Tool „Miro“,Future of Work
Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,Future of Work
"Die Gewinner des Coronavirus? Teamview, Zoom und Co.",Future of Work
Teil 3/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – die 4 P’s. Fokus “Play”,Future of Work
Das Büro der Zukunft: eine Visualisierung,Future of Work
Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch,Future of Work
DIY Education – was bedeutet dieser Trend für Unternehmen & Universitäten?,Future of Work
Empfehlung: Future of Work Podcast der Bertelsmann Stiftung,Future of Work
Clockify – ein Zeiterfassungssystem für projektübergreifende Teams,Future of Work
«Microsoft Teams»: eine Vereinigung von bisher separaten Teamarbeitstools,Future of Work
"Jäger, Hirten, Krtiker – Eine Utopie für die digitale Gesellschaft (Buchreview)",Future of Work
Insights vom 49. St.Gallen Symposium zum Thema “Capital for Purpose”,Future of Work
Highlights vom Start Summit: Auf der Suche nach dem «Unicorn»,Future of Work
Co-Working aus Unternehmenssicht II: Unsere neue Studie,Future of Work
Kollaborativ arbeiten von überall mit dem “Realtimeboard”,Future of Work
Lego im Büro: Zwei Anwendungsbeispiele,Future of Work
Wird an Mitarbeitenden vorbei entschieden?,Future of Work
Vier Zukunftsbilder für die Arbeitswelt 2030,Future of Work
Mein Neinsag Freund und Helfer,Future of Work
Interview mit Barbara Josef,Future of Work
Open Desk: Modeerscheinung oder Produktivitätsmaschine?,Future of Work
"Beyond the End of Work: Es ist rational, optimistisch in die Zukunft zu blicken",Future of Work
Insights vom St. Gallen Symposium “Beyond the End of Work”,Future of Work
Design Fiction: Ein neuer Blickwinkel auf die (Arbeits-)Welt der Zukunft,Future of Work
Substitut oder Komplement? Wenn Roboter unsere Arbeitsplätze übernehmen,Future of Work
Das virtuelle Büro – arbeiten wir bald alle in der virtuellen Welt?,Future of Work
Wozu noch arbeiten? Vor uns liegt eine Kostenlos-Zukunft,Future of Work
Roboter Pepper als Unterrichtsassistent,Future of Work
Das Web hat ein Messie-Syndrom,Kolumne
Bereits 1925 erfunden – Multifunktionsmaske fürs Büro,Kolumne
Was wäre was Wildes?,Kolumne
Digitaler Maulkorb – mein Retusche-Favorit,Kolumne
Dozenten-Ichs und Klebeband für Lehre-Videos,Kolumne
REgnosen statt PROgnosen wenn die Zukunft ihre Richtung ändert,Kolumne
Zeitkapselwunsch 2050: Der nächste Hochschulbau wird ein Ufo,Kolumne
Das Mandala-Osterei Experiment,Kolumne
Corona-Quarantäne als Zeitgeschenk der Möglichkeiten,Kolumne
Digitalisierung auf Deutsch und in Wortschönheiten,Kolumne
Devices und Apps für Helikoptereltern – mit Fragezeichen,Kolumne
Technikzeitreise – wie waren wir vor 30-20-10 Jahren digital unterwegs?,Kolumne
Wer ist eigentlich der Wettkönig zu 3D-Welten?,Kolumne
Digital Ausmisten – im Stil von Marie Kondo,Kolumne
Innovationskultur ist heutzutage in Stein gemeisselt,Kolumne
Kreativität ist unbequem und voll Schamesröte,Kolumne
Mindful Working – Achtsamkeit beim Arbeiten,Kolumne
Die Erstbesteigung des Matterhorns im Startup-Jargon,Kolumne
Infantilisierung von Management Literatur oder progressives Design?,Kolumne
"Kolumne: Zuhause hütteln, ausser Haus loungen",Kolumne
Kolumne: Wenn Entscheidungsschwäche zum Produkt-Feature wird,Kolumne
Kolumne: Unsere Abwesenheitsmeldungen im eMail sagen mehr als Out-of-Office,Kolumne
Kolumne: Meine Aufmerksamkeit gehört mir,Kolumne
"Kolumne: No bla, just do – in Leonardo da Vinci’s Malatelier",Kolumne
"Kolumne: Von der Kunst, Kunst zu unterrichten",Kolumne
Kolumne: Fake Nudges für die Lernmotivation – oder doch nicht?,Kolumne
Kolumne: Digitaler Anstand auf weiss gedeckten Tischen,Kolumne
Kolumne: Eine Klasse von über 400 Primarschulkindern unterrichten – ist das ein Guinness World Record?,Kolumne
Gast-Kolumne: Agile Innovation für Next Generation Mobile Business – die Studien-Keynote zum 6. Mobile Business Forum,Kolumne
Kolumne: Nudging durch Büroeinrichtung,Kolumne
Kolumne: Living Instruments – Sinneserweiterung durch Sensoren und Computer,Kolumne
Kolumne: Leseempfehlungen für nachdenkliche Sommerstunden,Kolumne
Kolumne: Im Silicon Valley wird Scheitern gefeiert – Failure ist gut – wirklich?,Kolumne
Kolumne: Nach 2 Büchern vom – und 4 Wochen im Silicon Valley,Kolumne
Kolumne: Leben mit einem Algorithmus als Hausgenosse,Kolumne
Kolumne: Konferenzticker – mit Nichtgetwittertem,Kolumne
Kolumne: NoPhone – Stone Phone – Schoko-Phone,Kolumne
Kolumne: Augmented Reality am Frühstückstisch – ganz ohne Computertechnik,Kolumne
Kolumne: Ärgernis Konferenz-Badges – Call for Start-up Action,Kolumne
Kolumne: Trendscouting Schlafen 4.0,Kolumne
Kolumne: Von wegen Kundenzentriertheit – Wie verlogen ist das denn?,Kolumne
Kolumne: Auswüchse des Open Space Büros – Rennen und Ruhe,Kolumne
"Kolumne: Lesersicht – ein Buch ist Werkstoff, nicht Werk",Kolumne
Kolumne: Grand Challenges im Fokus der Forschung – Micro Challenges ungelöst,Kolumne
Kolumne: Unterrichten – Kochen – Shoppen. FLIPPED geht alles besser,Kolumne
"Kolumne: Zeitgemässes Arbeitsambiente – Kaffeehaus, Hotel oder Raumstation?",Kolumne
Kolumne: Video-Serie Pralideen – ein CEO und sein Chauffeur haben mich darauf gebracht,Kolumne
Kolumne: Drohnen und Big Data statt Kuhglocken und Big Sounds,Kolumne
Kolumne: Das Buch in Zukunft – es schlägt zurück,Kolumne
"Kolumne: Velo-Umwege digital, aber mit Herz",Kolumne
Kolumne: Bessermeckern von Besserwissern,Kolumne
Kolumne: Gut gibt es Ideenklau,Kolumne
Kolumne: Jetzt hört es aber auf,Kolumne
Kolumne: Cloud – aber anders als Sie denken,Kolumne
Kolumne: The Next Big Thing – Nicht in MEINEM Koffer,Kolumne
"Kolumne: Die Webdienstgeister, die ich rief…",Kolumne
Kolumne: Social Business – (M)Ein Baum mit RFID-Chip,Kolumne
Kolumne: Meinungsumschwung: Bitte Abschalten!,Kolumne
Kolumne: Nichts geht mehr ohne Video,Kolumne
Kolumne: Science Fiction wird unmerklich wahr,Kolumne
Kolumne: TV Soaps Kill the Case Teaching Stars,Kolumne
Kolumne: Humanoide Roboter machen uns zu robotoiden Menschen,Kolumne
Kolumne: Was auf der Liste der ungelösten Probleme fehlt,Kolumne
Kolumne: Sehnsucht nach erträglicher Langsamkeit des Seins,Kolumne
Kolumne: Digitales Spiegelkabinett,Kolumne
Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche,Learning Innovations
Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye,Learning Innovations
Global Learning Landscape 2021,Learning Innovations
Online-Veranstaltung am 22./23. Feb:  «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»,Learning Innovations
Methoden zur effektiveren Gestaltung von E-Postern,Learning Innovations
Digital Storytelling am Zukunftstag,Learning Innovations
360-Grad Bilder und VR-Brillen erklärt von der Maus,Learning Innovations
Learning Analytics – Das Lernen der Zukunft basiert auf Smart Data,Learning Innovations
Digital Storytelling – möglicher Einsatz im Bildungskontext,Learning Innovations
Kleines E-Learning Glossar,Learning Innovations
E-LEARNING SO GEFRAGT WIE NOCH NIE,Learning Innovations
4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19,Learning Innovations
Regierung bewilligt ITBO-Projektauftrag zur Digital-Entrepreneurship-Werkstatt,Learning Innovations
ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober,Learning Innovations
Storytelling im eLearning Kontext – Tipps für die Praxis,Learning Innovations
Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?,Learning Innovations
Teil 5/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Warum “positive Fehlerkultur” ein unglücklicher Begriff ist,Learning Innovations
Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Learning Innovations
Teil 4/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – Was bedeutet “Agil” wirklich?,Learning Innovations
Unsere Empfehlung: Online Brainstorming Tool „Miro“,Learning Innovations
Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,Learning Innovations
Kostenloses E-Learning zu Präventionsmassnahmen des Coronavirus,Learning Innovations
Teil 3/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – die 4 P’s. Fokus “Play”,Learning Innovations
Die Digital-Entrepreneurship-Werkstatt auf der LEARNTEC2020,Learning Innovations
Teil 2/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – die 4 P’s. Fokus “Projects”,Learning Innovations
Cellulo: mit einem Roboter Schreiben lernen,Learning Innovations
Big Data in der Lehre (be)greifbar machen,Learning Innovations
Schulkinder vertrauen Alexa nicht,Learning Innovations
Teil 1/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – der Spatenstich ist gemacht,Learning Innovations
Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch,Learning Innovations
DIY Education – was bedeutet dieser Trend für Unternehmen & Universitäten?,Learning Innovations
Frank Thelen und die Digitalisierung der Schule: einfach mal machen!,Learning Innovations
Bachelorstudierende entwickeln innovative Ideen mit Hilfe des «IoT Service Kits»,Learning Innovations
eLearning an Hochschulen – fehlende Bereitschaft der Dozierenden?,Learning Innovations
Digitaltag Schweiz 2019: In unserer Digital-Entrepreneurship-Werkstatt spüren Schülerinnen und Schüler ersten Unternehmergeist,Learning Innovations
Die Zukunft des Lernens: ein Goldman Sachs Briefing,Learning Innovations
Interview mit Prof. Back von Learning Insights zur Lernkultur,Learning Innovations
"Die Kunst des “Unlearnings”: Der Moment, in dem es “klick” macht",Learning Innovations
Raum für die Prinzipien des neuen Lernens (Buchbeitrag),Learning Innovations
Darf ich vorstellen? e.DO der erste nach ISO zertifizierte Lernroboter,Learning Innovations
Digitalisierung bei der Sendung mit der Maus,Learning Innovations
Visuelle Lernerfahrungen erstellen mit Thinglink,Learning Innovations
Digital Business Werkstatt erfolgreich lanciert,Learning Innovations
Top Learning Tools 2018,Learning Innovations
World Climate – Ein Spiel für den Klimaschutz (und Vorbild für modernes Lernen),Learning Innovations
Lernen ist Thema im Internet Trend Report 2018,Learning Innovations
Künstliche Intelligenz im Bildungssektor: Robo-Grader und Lernnavis,Learning Innovations
Lerninhalte interessant verpacken mit sprechenden Charakteren von Voki,Learning Innovations
Gruppen gerechter zuteilen mit Flippity,Learning Innovations
Khan Lab School Learning Spaces – So sieht die Schule der Zukunft aus!,Learning Innovations
M-Learning: Wenn das Smartphone dich smart macht,Learning Innovations
Fremdsprachen lernen für Fortgeschrittene mit LingQ oder Duolingo,Learning Innovations
Teach to One: Das Lernmodell der Zukunft?,Learning Innovations
Wie Augmented Reality das Lernen revolutionieren wird,Learning Innovations
"Lernen selbst in die Hand nehmen – angefangen mit Lesen, Schreiben und Rechnen",Learning Innovations
Khan Lab School – Im Silicon Valley wird Schule neu erfunden (Interview Teil 4 von 4),Learning Innovations
Khan Lab School – Im Silicon Valley wird Schule neu erfunden (Interview Teil 3 von 4),Learning Innovations
Nachnominationen für Top Tools für Learning,Learning Innovations
Khan Lab School – Im Silicon Valley wird Schule neu erfunden (Interview Teil 2 von 4),Learning Innovations
Ein Programmier-Lehrer rappt: Let’s spread this AI power,Learning Innovations
Khan Lab School – Im Silicon Valley wird Schule neu erfunden (Interview Teil 1 von 4),Learning Innovations
Follow up zum Newsletter-Artikel zu Code-Plattformen – was über den Sommer geschah,Learning Innovations
Internettrends 2017 von Mary Meeker,Learning Innovations
re:publica – Die besten Vorträge rund um E-Learning & Kollaboration,Learning Innovations
9 Plattformen zum Programmieren lernen,Learning Innovations
Beitrag Marketplace an der SeLC: Mini Design Thinking Sprint zur Zukunft der Lehre,Learning Innovations
Digitalisierung von Schulen mit der Schul-Cloud,Learning Innovations
Wie kann die Abbrecherquote von MOOCs reduziert werden?,Learning Innovations
Digitalisierung in der Schule – woran hapert es?,Learning Innovations
Global Learning Landscape 2021,Learning to Code
360-Grad Bilder und VR-Brillen erklärt von der Maus,Learning to Code
Cellulo: mit einem Roboter Schreiben lernen,Learning to Code
Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche,Lehrstuhlnachrichten
“Business-Thinking”-Fokus im Master-Kurs,Lehrstuhlnachrichten
Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil,Lehrstuhlnachrichten
Digital Storytelling am Zukunftstag,Lehrstuhlnachrichten
Jetzt Einreichen oder Workshop-Partner werden,Lehrstuhlnachrichten
Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung,Lehrstuhlnachrichten
Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.,Lehrstuhlnachrichten
Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»,Lehrstuhlnachrichten
Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?,Lehrstuhlnachrichten
Ein Rückblick auf den Forum Day 2020: Smart IoT & Mobile Business,Lehrstuhlnachrichten
Regierung bewilligt ITBO-Projektauftrag zur Digital-Entrepreneurship-Werkstatt,Lehrstuhlnachrichten
Neues (altes) Gesicht am Lehrstuhl: Lena-Marie Pätzmann,Lehrstuhlnachrichten
High-Resolution Prototyp für das Gesundheitswesen,Lehrstuhlnachrichten
Forum Day 2020 Updates,Lehrstuhlnachrichten
Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”,Lehrstuhlnachrichten
Fortschrittsverfolgung der Digitalen Transformation im Unternehmen – ausgehend von Digitale Reife Assessments,Lehrstuhlnachrichten
"Zwanzig Aspekte von Innovationskultur, um digitale Lösungen zu entwickeln – Wie steht es bei Ihnen?",Lehrstuhlnachrichten
Bekanntgabe der nominierten Lösungen des Forum Day 2020,Lehrstuhlnachrichten
Digitalisierung im Stadion – die Entwicklung einer mobilen Spieltags-App,Lehrstuhlnachrichten
Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen,Lehrstuhlnachrichten
Research Salon Online via ZOOM,Lehrstuhlnachrichten
Angstbefreites Scheitern – ein Interview mit Prof. Dr. Andrea Back in der HZ,Lehrstuhlnachrichten
Forum Day und Jurytag sind auf unbestimmte Zeit verschoben,Lehrstuhlnachrichten
Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen,Lehrstuhlnachrichten
Die Digital-Entrepreneurship-Werkstatt auf der LEARNTEC2020,Lehrstuhlnachrichten
Teil 1/5 [Lernkultur]: Raum für neue Lernkultur an der Uni St.Gallen – der Spatenstich ist gemacht,Lehrstuhlnachrichten
Aufruf zu Einreichungen bis 3.3.2020 für die Smart IoT und Mobile Business Best Practice Awards,Lehrstuhlnachrichten
Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart,Lehrstuhlnachrichten
Innovation durch den Einsatz von Enterprise IoT-Lösungen: Ein Modell zur Bestimmung des Innovationspotenzials,Lehrstuhlnachrichten
Produktmanager bei Google – Masterstudierende besuchen Z(G)oogler in Zürich,Lehrstuhlnachrichten
Save the Date! Am 14. Mai 2020 findet der nächste Smart IoT & Mobile Business Forum Day statt.,Lehrstuhlnachrichten
Bachelorstudierende entwickeln innovative Ideen mit Hilfe des «IoT Service Kits»,Lehrstuhlnachrichten
"45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»",Lehrstuhlnachrichten
Digitaltag Schweiz 2019: In unserer Digital-Entrepreneurship-Werkstatt spüren Schülerinnen und Schüler ersten Unternehmergeist,Lehrstuhlnachrichten
DayCatcher: Achtsamkeits-Training in der Digitalen Welt,Lehrstuhlnachrichten
Insights aus unseren studentischen Projekten,Lehrstuhlnachrichten
Forum Day: Rückblick auf den «Smart IoT & Mobile Business Award»,Lehrstuhlnachrichten
Rückblick: Research Salon in Varenna,Lehrstuhlnachrichten
Ausblick: Research Salon am Comer See,Lehrstuhlnachrichten
Smart IoT & Mobile Business Awards 2019: Reichen Sie jetzt ein,Lehrstuhlnachrichten
Raum für die Prinzipien des neuen Lernens (Buchbeitrag),Lehrstuhlnachrichten
