Kategorie,Titel,Inhalt
Agile Innovation,Forum Day: Rückblick auf den «Smart IoT & Mobile Business Award»,"Fazit. Der Forum Day 2019 war ein spannendes, interaktives Event bei der Forschung und Praxis zusammenkamen und sich austauschten. Im Mittelpunkt standen die Lösungen der Unternehmen, die es auf die Shortlist geschafft hatten und somit für einen Award nominiert waren. Durch die vorgestellten Projekte konnten alle Teilnehmer Ihren Horizont auf mobile sowie IoT Lösungen erweitern. Ein zentrales Thema war die Datenverarbeitung und die daraus resultierenden Effizienzsteigerungen mit Hilfe verschiedener Lösungen. Projekte, die mit Hilfe von Daten neue, innovative Geschäftsmodelle präsentierten, waren eher selten. Das zeigt, dass Datenverarbeitung heute zum Grossteil dafür genutzt wird Prozesse zu optimieren und nicht das Rad neu zu erfinden. Die Eröffnung. Am 6. Juni 2019 haben wir v..."
Allgemein,Insights vom 49. St.Gallen Symposium zum Thema “Capital for Purpose”,"Als Mitglieder der akademischen Jury des Essaywettbewerbs, bei dem fast 1000 junge Menschen aus aller Welt ihre Ideen zum Thema ""Capital for Purpose"" einreichten, hatten wir als Doktoranden des Lehrstuhls IWI3 die Gelegenheit das 49. St. Gallen Symposium zu besuchen. Das zweitägige Event, das am 9. und 10. Mai auf dem Campus der HSG stattfand, brachte über 200 junge Menschen (so genannte ""Leaders of Tomorrow"") mit mehr als 600 ""Leaders of Today"" zusammen, darunter namhafte Persönlichkeiten aus Politik und Wirtschaft, wie Dominik Barton, Karin Keller-Sutter, Fatima Bhutto und den Geschichtsprofessor Niall Ferguson von der Stanford University. Letzterer hielt gleich zu Beginn des Symposiums einen der wohl rhetorisch besten, aber auch kontroversesten Vorträge. In seiner Rede diskutier..."
Allgemein,Unsere Linktipps im Februar,"Warum der Begriff ""Fake News"" schädlich ist Die Diskussion darüber ist riesig, aber Ethan Zuckerman gibt einige gute Hintergrundinformationen, warum wir nicht von Fake News sprechen sollten und verweist auch auf das Tool Media Cloud vom MIT. Warum Big Data Analytics keine Wahlen gewinnen Nach der US Wahl gab es eine Berichte über Cambridge Analytica, die mit auf Data Mining und Data Analytics basierenden Kommunikationsmassnahmen die Wahl beeinflusst hätten. Warum dies zu kurz gegriffen ist, schreibt Leonid Bershidsky auf Bloomberg. Was heisst hier ""intelligent""? Künstliche Intelligenz gilt in der Technologiebranche als nächster grosser Trend. Doch was unterscheidet eine Maschine mit künstlicher Intelligenz vom heutigen Computer? Mehr in der FAZ...."
Artificial Intelligence,Trendradar von fortiss zu aktuellen Softwarethemen,"Das Forschungsinstitut des Freistaats Bayern für softwareintensive Systeme und Services (fortiss) hat einen Trendradar veröffentlicht, der darüber informieren soll, welche Softwarethemen momentan aktuell und relevant sind. Der Trendradar gibt eine objektive Bewertung zu aktuellen Technologien und Themenfeldern ab (z.B. Kategorie Machine Learning, Technologie Python). Wie auf dem linken Bild zu sehen ist, wird jede Technologie auf einer Skala von 0 – 100 gerankt, wobei 100 die maximale Relevanz wiedergibt. Mit einer Bewertung von 75 wird Pyhton eine hohe momentane Relevanz in der Kategorie Machine Learning zugesprochen. Nun ist das kein Wunder, doch was uns überrascht hat, waren die für uns unbekannten Technologien neben Python. Um ein tieferes Verständnis für die angegebenen Tech..."
Artificial Intelligence,Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,"Sponsored Post. Die Swissteach AG hat ihr Portfolio im letzten Jahr merklich erweitert: seit Anfang 2019 hat der E-Learning Experte auch seinen Contentbereich in rekordverdächtiger Zeit auf- und beachtlich ausgebaut. Neben intern produzierten Individualcontents bietet die Schweizer Firma auch diverse Standardlösungen von Partnerfirmen zum sofortigen Gebrauch an. Hierbei setzt die Swissteach – wie bei all ihren Lösungen - fokussiert auf extrem hohe Qualität. Dies zeigt sich nicht nur durch den Gewinn des E-Learning Awards 2020 (in der Kategorie «WBT»), sondern auch in der Wahl ihrer Partner: Kürzlich nun hat die Swissteach ihre Partnerschaft mit CULTURE CONTACT bekannt gegeben. Das genannte Münchner Unternehmen mit CEO Susanne M. Zaninelli, ist spezialisiert auf Seminare im Berei..."
Artificial Intelligence,3 spannende KI-Startups vom «World Summit AI» in Amsterdam,"Mitte Oktober 2019 hat in Amsterdam der «World Summit AI» stattgefunden. Bei diesem Event haben diverse «Early-Stage» Start-ups ihre innovativen Ideen einer Jury vorgestellt, die aus grossen Unternehmen wie Oracle, Nvidia, IBM und Accenture zusammengesetzt war. Wir präsentieren eine kurze Zusammenfassung der drei spannendsten Start-ups, beginnend mit dem Gewinner - Neuro Flash. Weitere spannende Start-ups des Events können hier gefunden werden.  Neuro Flash: Markenakzeptanz von Kunden vorhersagen  Durch die Vernetzung von großen Datenmengen, Natural Language Processing (NLP), Machine Learning und Neuropsychologie kann das deutsche Startup Neuro Flash, Unternehmen helfen, sofort zu entdecken, welche Dinge Verbraucher mit einer Marke in Verbindung bringen. Dadurch müssen keine z..."
Artificial Intelligence,Roboter löst Rubik’s Cube ohne menschliche Hilfe,"Das unten eingebettete Video zeigt eine vom KI-Lab OpenAi entwickelte Roboterhand, die ohne menschliche Hilfe einen Rubik's Cube lösen kann. Beeindruckend ist nicht nur das Geschick dieser Hand, sondern auch die Schnelligkeit, mit der das ""Problem"" gelöst wird. Was wie eine Spielerei aussieht, kann grosses Potenzial auch für Industrieroboter, Drohnen und andere autonome Maschinen haben. Wie in einem weiteren Video hier zu sehen ist, wird die Roboterhand während der Bewältigung der Aufgabe von mehreren künstlichen Hindernissen (z.B. einer Giraffe) gestört. Dennoch schafft es die Roboterhand zum Endergebnis zu kommen. Das Trainieren des Roboters basierend auf solchen komplexen Handhabungsaufgaben hat demnach enormes Potenzial für andere autonome Maschinen in der realen Welt, um ihr ..."
Artificial Intelligence,Eddy: ein KI-Reiseassistent per Chat und Sprachnachricht,"Reisen über das Internet zu buchen ist zwar ""normal"", wird aber immer lästiger. Bis man sich durch die diversen Vergleichsportale gewühlt hat, sieht man meist den Wald vor lauter Bäumen nicht mehr und denkt bei jedem Hotel es schon einmal auf einer anderen Plattform zu billigeren Preisen gesehen zu haben. Das Startup ""Eddy Travels"" möchte diesem Urwald mit seinem persönlichen Reiseassistenten basierend auf KI-Algorithmen entgegenwirken. Über alle beliebten Messenger-Dienste (z.B. WhatsApp) können Nutzer mit Eddy chatten, oder Sprachnachrichten aufnehmen und so Vorschläge für Flüge, Übernachtungen, Restaurants oder Reisetipps ganz einfach innerhalb von Sekunden bekommen. Der Chat-Bot analysiert per Sprachverarbeitungssystem sogar die Vorlieben des Nutzers und gibt so die besten..."
Artificial Intelligence,3. Startfeld Innovationsforum zum Thema “Jäger & Sammler: Mehrwert durch Datennutzung”,"Big Data, Data Mining, Predictive Modelling, Data Analytics, Machine Learning. Daten sind das neue Öl. Welche Daten sind relevant? Wie fördern und veredeln Sie diesen Rohstoff im eigenen Unternehmen? Das 3. Startfeld Innovationsforum steht ganz im Fokus der vertieften Datennutzung. Erfahren Sie mehr über die neuesten Trends. Lernen Sie aus Insights von Best-Practice-Beispielen. Vertiefen Sie das Gehörte in anwendungsorientierten Workshops, um nicht nur Daten zu jagen und zu sammeln, sondern auch einen möglichst grossen Nutzen daraus zu ziehen. Weitere Informationen zum Innovationsforum und den Link zur Anmeldung finden Sie hier."
Artificial Intelligence,Manipulierte Videos: Die Gefahr durch Deepfakes,"Wenn Sie das unten angehängte Video schauen, sehen Sie eine öffentliche Ansprache des ehemaligen amerikanischen Präsidenten Barack Obama. Während Duktus und Mimik von unzähligen anderen Ansprachen bekannt sind, scheinen das Vokabular und der Inhalt der Rede so gar nicht zu Obama zu passen. Denn was wir hier sehen ist nicht der echte Obama, sondern ein durch künstliche Intelligenz erzeugtes Video, das vor den Gefahren ebensolcher ""Deepfakes"" warnen möchte. Deepfakes sind ""falsche, aber täuschend echt wirkende Bilder oder Videos, die automatisiert mit Hilfe neuronaler Netze erzeugt wurden"". Dabei werden Bilder von vergangenen Ansprachen genutzt und die Lippenbewegungen an das künstlich Gesprochene Wort angepasst. Die Stimme basiert ebenfalls auf echten Audiodaten. Angesichts der ..."
Artificial Intelligence,AI for Everyone: Ein empfehlenswerter Crashkurs über Künstliche Intelligenz,"Jeden Tag lesen wir in der Zeitung, in Magazinen, in Online Nachrichten und nicht zuletzt in diesem Newsletter von künstlicher Intelligenz. Wir wissen, dass die künstliche Intelligenz, tiefgreifende Folgen haben, und die Welt wie wir sie kennen verändern wird. Nahezu alle Branchen und viele Bereiche unseres täglichen Lebens werden betroffen sein (oder sind es schon). Dennoch verstehen die wenigsten von uns wie künstliche Intelligenz wirklich funktioniert, was sie kann, was (noch) nicht, und welche Szenarien reine Fiktion sind. Viele schrecken davor zurück sich mit dem Thema näher zu beschäftigen, weil sie es für zu technisch und kompliziert halten. Ein neuer Coursera Onlinekurs schafft Abhilfe. In dem für 4 Wochen (insgesamt 9 Stunden) ausgelegten und kostenfrei zugänglichen ..."
Artificial Intelligence,AI generierte Gesichter: Können wir unseren Augen noch trauen?,"Wenn Sie die Website thispersondoesnotexist.com besuchen, sehen Sie eine fremde Person. Auf den ersten Blick mag es aussehen wie ein mittelmässig getroffenes Foto aus einem alten Jahrbuch oder ein nicht sehr ratsames Bewerbungsbild. Nichts würde darauf hindeuten, dass dies keine echte Person ist - wenn es nicht die URL bereits verraten würde: Diese Person existiert nicht. Stattdessen wurden alle Bilder (lädt man die Seite neu, so erscheint ein neues Bild) von einer künstlichen Intelligenz generiert, die mit Bilddaten von zahllosen echten Personen gefüttert wurde. Ähnlich verhält es sich mit der Seite thisrentaldoesnotexist.com. Während es auf den ersten Blick so aussieht, als sei man auf eine buchbare Unterkunft (zum Beispiel von Airbnb) gestossen, handelt es sich in Wirklichkeit..."
Corporate Entrepreneurship,Empfehlung: Future of Work Podcast der Bertelsmann Stiftung,"Auf der Suche nach neuem Input zum Thema Intrapreneurship, bin ich über eine sehr spannende Podcast-Serie gestossen. Auf dem Blog „Zukunft der Arbeit“ veröffentlicht die Bertelsmann Stiftung in regelmäßigen Abständen Podcasts zur digitalen Transformation der Arbeitswelt. (Mit dem Ohr) hängen geblieben, bin ich am Podcast #18: ein Interview mit dem Autor Greg Larkin über Intrapreneurship. In seinem Buch „This might get me fired“ beschreibt er wie große Konzerne, trotz fest gefahrener Strukturen, innovative und digitale Produkte in nur 8 Wochen auf den Markt bringen können. Das Buch richtet sich primär an Intrapreneurs, die sich nicht trauen riskante und unbekannte Wege zu gehen. Die Idee ist eben, so betont Larkin in dem Podcast, Intrapreneurs Strategien an die Hand zu ge..."
Corporate Entrepreneurship,Highlights vom Start Summit: Auf der Suche nach dem «Unicorn»,"Der Start Summit ist die grösste Start-up Konferenz in Europa, die von Studierenden organisiert wird, und Unternehmertum und Technologie zusammenbringt. Rund 3200 Teilnehmer zählte das diesjährige Event. Ein Drittel seien Studierende, aber auch Jungunternehmer und Investoren gehörten dazu. Unsere Doktoranden Max und Arne waren auf dem zweitägigen Event und haben ihre Eindrücke mitgebracht. Zu den Highlights des Summits gehörte der Auftritt von TV-Investor Frank Thelen, der einen Einblick über diejenigen Schlüsseltechnologien gab, in welche er mit seiner Venture-Capital-Firma Freigeist Capital investiert. N26 Gründer und HSG Alumni Valentin Stalf diskutierte auf der Hauptbühne über die Zukunft der FinTech-Branche. N26 zählt zu den sogenannten «Unicorns». So werden Start-up..."
Cyber Security,“Turbo-Digitizing at the Expense of Security?” Webinar mit Mario Silic und Shira Kaplan,"Dr. Mario Silic schloss in 2015 seine Promotion bei uns am Lehrstuhl ab und forscht nun als Post-Doc in den Gebieten Information Security, Human Computer Interaction und Open Source Software. Zudem ist er Lehrbeauftragter an der Universität St. Gallen. Im Juni 2020 hat Mario zusammen mit Shira Kaplan, Harvard Absolventin und Gründerin einer Schweizer Cybersecurity Firma (Cyverse) ein interessantes Webinar zu Cybersecurity in Zeiten der Corona-Krise gegeben. Was in Bezug auf die Digitalisierung und Coworking vor einem Jahr noch als undenkbar erschien, wurde durch die Corona-Krise bedingt möglich gemacht. Damit hat die Pandemie ein neues Zeitalter der digitalen Zusammenarbeit eröffnet. Welchen Einfluss diese Entwicklung auf die Cybersicherheit hat und welche Risiken damit einher geh..."
Cyber Security,Mehr (digitale) Privatsphäre durch besondere Kleidung?,"Durch die Digitalisierung entsteht ein ganz neues Bewusstsein für die Privatsphäre. Und so wird der Markt um Mode, die uns vor der Digitalisierung schützt bzw. uns Privatsphäre gibt, immer größer. Da wo die Camouflage-Kleidung Soldaten in der verstaubten Umgebung verschwinden lassen soll, ermöglichen es besondere Kleidungsstücke und Accessoires uns in der alltäglichen Umgebung vor Überwachungskameras und automatischer Gesichtserkennung zu schützen. Ein interessanter Artikel der Süddeutschen Zeitung wirft zu diesem Thema einen kritischen Blick auf den durch die Digitalisierung veränderten öffentlichen Raum und die damit einhergehende Entwicklung der Mode.   Ähnliche Ziele der Nichterkennung können bei den Demonstranten auf den Strassen von Hongkong wahrgenommen werden. Mit ..."
Cyber Security,Jami – sicher chatten durch Blockchain,"Mit dem Verschmelzen von Instagram, WhatsApp und Facebook in ein Unternehmen ist vor allem eines verloren gegangen: Datensicherheit. Und, dass Facebook hin und wieder mal Datenschutzgesezte missachtet, ist auch nichts Neues. Der Tonus ist klar: wir leben in einer Welt, in der die persönlichen Daten zu einer eigenen Währung geworden sind und der Markt um diese stark umkämpft ist. Eines der größten Probleme beim Sichern von Daten ist die zentralisierte Natur der Technologien, die verwendet werden, um die persönlichen Informationen zu speichern und zu verschlüsseln. Die grossgesprochene Technologie Blockchain bietet daher eine dezentralisierte Lösung zu diesem Problem. Jami hat sich diese Technologie genauer angeschaut und mit dem Ziel ""Kommunizieren sicherer zu machen"" eine neu..."
Digital,Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche,"Nach der am WEF 2020 vorgestellten OECD Studie «Dream Jobs» sehen Jugendliche ihre Zukunft überwiegend in traditionellen Berufen. Hinsichtlich zukunftsträchtiger und von der Digitalisierung geprägten Berufe müssen Berufsbilder also bekannter werden, um auch die Berufswünsche vermehrt zukunftsorientiert auszurichten. Aus diesem Grund erarbeiten wir in Zusammenarbeit mit Smartfeld, dem Bildungslab des Innovationsnetzwerkes Startfeld, ein Workshop-Konzept für Schülerinnen und Schüler (SuS), um den emotionalen Zugang zu unbekannten, digitalen Berufen im MINT-Bereich zu ermöglichen. In diesem Lernerlebnis werden SuS deshalb - in einem möglichst authentischen Berufsumfeld - solche Personen mit ihren Projekten und Tätigkeiten in kurzen Videodokumentationen porträtieren. Diese Video..."
Digital,“Business-Thinking”-Fokus im Master-Kurs,"In diesem Jahr haben wir unseren Kurs «8,010: Smart IoT & Mobile Business Solutions mit Design und Business Thinking umsetzen» für unsere Masterstudierenden im Master of Business Innovation (MBI) um das «Business Thinking» erweitert. Mit unserer HSG-BWL-Stärke und dem MBI-Fokus auf das Thema Geschäftsmodellinnovation freuen wir uns über diese passende Erweiterung. Studierende können sich somit in unserem Kurs zwei wesentliche Kompetenzen aneignen. Erstens lernen Sie prototypisch neue Produkte und/oder Dienstleistungen zu innovieren und zweitens die dahinterstehenden Geschäftsmodelle mit Fokus auf die Einnahmequellen und passenden Go-to-Market-Strategien zu entwickeln. Ausserdem haben wir die Vorlesung didaktisch neu aufbereitet, was das Lernerlebnis von Studierenden besonders..."
Digital,Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye,"Mit dem untenstehenden Lernvideo ist Maryam Tseggaye für uns alle zu einem Vorbild geworden. In ihrem kurzen Video zeigt sie, was für ein mächtiges Lehrmedium das Video sein kann, wenn es richtig eingesetzt wird. Obwohl es für Schüler “nur” online zu sehen ist, zeigt sie viele der pädagogischen Möglichkeiten von Videos - vielfältig, sehr gut greifbar und sehr unterhaltsam. Der Blog “Media & Learning” hat 12 Gründe veröffentlicht, warum wir uns alle ein Beispiel an diesem Video nehmen können: https://media-and-learning.eu/type/featured-articles/why-maryam-tsegayes-prizewinning-video-is-so-important-for-online-learning/ . Viel Spass beim Schauen des Videos – wir sind schon jetzt inspiriert das nächste Semester noch wertvoller für die Studierenden und uns zu gest..."
Digital,Global Learning Landscape 2021,"In einem Blog-Beitrag von Holon IQ (2021) haben wir von einer sehr anschaulichen und innovativen Taxonomy der Zukunfts des Lernens erfahren. Auf Basis von 10 Kategorien (z.B. Knowledge & Content, Education Management, Learning Support) wurde ein Periodensystem-ähnliches Model erstellt, welches sämtliche digitale Hilfsmittel und Ressourcen für die Zukunft des Lernens zusammenfasst. Drückt man beispielsweise auf das Kästchen “Teacher” (TR, Kategorie “Learning Support”), gelangt man zu einer Auflistung diverser ditaler Hilfsmittel für Lehrer/innen und Lehrende oder in der jetzigen Situation: für Eltern im Lock-Down fürs Home-Schooling. Die Seite bietet einfach zu findende, kuratierte und kontextualisierte Inhalte für den Unterricht - und spart so Hunderte von Stunden für..."
Digital,Vision Videos – ein Medium für eine geteilte Projektvision in studentischen Teams oder im Unternehmen,"Die Basis einer erfolgreichen Zusammenarbeit in projektbasierten Teams ist die Formulierung und Verständigung über eine geteilte Projektvision.  Die Formulierung einer solchen geteilten Projektversion kommt aus dem Requirements Engineering (RE), wo es vor allem darum geht ein gemeinsames Verständnis für ein zu entwickelndes System zu bekommen, sodass das Entwicklungsteam in der Lage ist eine Lösung zu entwickeln, die die Interessensvertretung (z.B. Nutzer, Designer, Projektleiter etc.) für Gut empfindet. Klassischerweise wurden die geteilten Visionen aller Interessensgruppen, die am zu bauenden System beteiligt sind, schriftlich festgehalten und auch in Textform weiterverarbeitet. Ein vielversprechenderes Medium für die Visualisierung und Kommunikation eines gemeinsamen Verständ..."
Digital,Online-Veranstaltung am 22./23. Feb:  «Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung»,"Gerne möchten wir Sie auf eine spannende Online-Veranstaltung am 22. und 23. Februar 2021 hinweisen: Das Transfernetzwerk vierpunkteins richtet seine zweite Lernstatt mit dem Titel “Willkommen in den Zwanzigern – gewinnen und scheitern mit digitaler Bildung” aus. Innerhalb von zwei Tagen werden interessante Keynotes und Workshops stattfinden, die sich mit den aktuellen Themen der digitalen Aus- und Weiterbildung beschäftigen. Und das beste? Die Veranstaltung ist komplett kostenlos. HIER können Sie sich direkt anmelden. Prof. Dr. Andrea Back wird auch an der Veranstaltung teilnehmen und ist besonders an folgenden zwei Programmpunkten interessiert: Keynote von Wolfgang Reichelt (Dekra Media): „Handlungsorientierte Aus- und Weiterbildung mit neuen Medien – Status Quo und Zuk..."
Digital,Methoden zur effektiveren Gestaltung von E-Postern,"Auf akademischen Konferenzen wird das Thema E-Poster immer relevanter, denn es ist gar nicht mehr so unüblich, dass Forschende ihre Vorhaben in sogenannten ""Poster-Sessions"" präsentieren. Wir finden es eine recht innovative Möglichkeit in einer begrenzten Zeit Forschungsvorhaben anschaulich rüberzubringen. Besonders in der jetzigen Home-Office Zeit, können E-Poster eine erfrischende Abwechslung zu den langatmigen Power-Point-Präsentationen via Videokonferenzen darstellen. Folgendes Video hat sehr konkrete Tipps, sowohl inhaltlich als auch optisch, für die bessere Gestaltung von Forschungspostern zusammengefasst: [embed]https://www.youtube.com/watch?v=AwMFhyH7_5g[/embed] Wir, am Lehrstuhl, benutzen sehr gerne das Tool CANVA zur Gestaltung von visuellen Hilfsmitteln. Die Benutzung ..."
