Title,Content Preview,Category
Forum Day: Rückblick auf den «Smart IoT & Mobile Business Award»,"
                    Fazit. Der Forum Day 2019 war ein spannendes, interaktives Event bei der Forschung und Praxis zusammenkamen und sich austauschten. Im Mittelpunkt standen die Lösungen der Unternehmen, die es auf die Shortlist geschafft hatten und somit für einen Award nominiert waren. Durch die vorgestellten Projekte konnten alle Teilnehmer Ihren Horizont auf mobile sowie IoT Lösungen erweitern. Ein zentrales Thema war die Datenverarbeitung und die daraus resultierenden Effizienzsteigerungen mit Hilfe verschiedener Lösungen. Projekte, die mit Hilfe von Daten neue, innovative Geschäftsmodelle präsentierten, waren eher selten. Das zeigt, dass Datenverarbeitung heute zum Grossteil dafür genutzt wird Prozesse zu optimieren und nicht das Rad neu zu erfinden.

Die Eröffnung. Am 6. Juni 2019 haben wir v...									",Kategorien Archiv: Agile Innovation
Insights vom 49. St.Gallen Symposium zum Thema “Capital for Purpose”,"
                    Als Mitglieder der akademischen Jury des Essaywettbewerbs, bei dem fast 1000 junge Menschen aus aller Welt ihre Ideen zum Thema ""Capital for Purpose"" einreichten, hatten wir als Doktoranden des Lehrstuhls IWI3 die Gelegenheit das 49. St. Gallen Symposium zu besuchen. Das zweitägige Event, das am 9. und 10. Mai auf dem Campus der HSG stattfand, brachte über 200 junge Menschen (so genannte ""Leaders of Tomorrow"") mit mehr als 600 ""Leaders of Today"" zusammen, darunter namhafte Persönlichkeiten aus Politik und Wirtschaft, wie Dominik Barton, Karin Keller-Sutter, Fatima Bhutto und den Geschichtsprofessor Niall Ferguson von der Stanford University.

Letzterer hielt gleich zu Beginn des Symposiums einen der wohl rhetorisch besten, aber auch kontroversesten Vorträge. In seiner Rede diskutier...									",Kategorien Archiv: Allgemein
Unsere Linktipps im Februar,"
                    Warum der Begriff ""Fake News"" schädlich ist
Die Diskussion darüber ist riesig, aber Ethan Zuckerman gibt einige gute Hintergrundinformationen, warum wir nicht von Fake News sprechen sollten und verweist auch auf das Tool Media Cloud vom MIT.

Warum Big Data Analytics keine Wahlen gewinnen
Nach der US Wahl gab es eine Berichte über Cambridge Analytica, die mit auf Data Mining und Data Analytics basierenden Kommunikationsmassnahmen die Wahl beeinflusst hätten. Warum dies zu kurz gegriffen ist, schreibt Leonid Bershidsky auf Bloomberg.

Was heisst hier ""intelligent""?
Künstliche Intelligenz gilt in der Technologiebranche als nächster grosser Trend. Doch was unterscheidet eine Maschine mit künstlicher Intelligenz vom heutigen Computer? Mehr in der FAZ....									",Kategorien Archiv: Allgemein
Trendradar von fortiss zu aktuellen Softwarethemen,"
                    Das Forschungsinstitut des Freistaats Bayern für softwareintensive Systeme und Services (fortiss) hat einen Trendradar veröffentlicht, der darüber informieren soll, welche Softwarethemen momentan aktuell und relevant sind. Der Trendradar gibt eine objektive Bewertung zu aktuellen Technologien und Themenfeldern ab (z.B. Kategorie Machine Learning, Technologie Python). Wie auf dem linken Bild zu sehen ist, wird jede Technologie auf einer Skala von 0 – 100 gerankt, wobei 100 die maximale Relevanz wiedergibt. Mit einer Bewertung von 75 wird Pyhton eine hohe momentane Relevanz in der Kategorie Machine Learning zugesprochen. Nun ist das kein Wunder, doch was uns überrascht hat, waren die für uns unbekannten Technologien neben Python. Um ein tieferes Verständnis für die angegebenen Tech...									",Kategorien Archiv: Artificial Intelligence
Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,"
                    Sponsored Post. Die Swissteach AG hat ihr Portfolio im letzten Jahr merklich erweitert: seit Anfang 2019 hat der E-Learning Experte auch seinen Contentbereich in rekordverdächtiger Zeit auf- und beachtlich ausgebaut. Neben intern produzierten Individualcontents bietet die Schweizer Firma auch diverse Standardlösungen von Partnerfirmen zum sofortigen Gebrauch an. Hierbei setzt die Swissteach – wie bei all ihren Lösungen - fokussiert auf extrem hohe Qualität. Dies zeigt sich nicht nur durch den Gewinn des E-Learning Awards 2020 (in der Kategorie «WBT»), sondern auch in der Wahl ihrer Partner:

Kürzlich nun hat die Swissteach ihre Partnerschaft mit CULTURE CONTACT bekannt gegeben. Das genannte Münchner Unternehmen mit CEO Susanne M. Zaninelli, ist spezialisiert auf Seminare im Berei...									",Kategorien Archiv: Artificial Intelligence
3 spannende KI-Startups vom «World Summit AI» in Amsterdam,"
                    Mitte Oktober 2019 hat in Amsterdam der «World Summit AI» stattgefunden. Bei diesem Event haben diverse «Early-Stage» Start-ups ihre innovativen Ideen einer Jury vorgestellt, die aus grossen Unternehmen wie Oracle, Nvidia, IBM und Accenture zusammengesetzt war. Wir präsentieren eine kurze Zusammenfassung der drei spannendsten Start-ups, beginnend mit dem Gewinner - Neuro Flash. Weitere spannende Start-ups des Events können hier gefunden werden. 

Neuro Flash: Markenakzeptanz von Kunden vorhersagen 
Durch die Vernetzung von großen Datenmengen, Natural Language Processing (NLP), Machine Learning und Neuropsychologie kann das deutsche Startup Neuro Flash, Unternehmen helfen, sofort zu entdecken, welche Dinge Verbraucher mit einer Marke in Verbindung bringen. Dadurch müssen keine z...									",Kategorien Archiv: Artificial Intelligence
Roboter löst Rubik’s Cube ohne menschliche Hilfe,"
                    Das unten eingebettete Video zeigt eine vom KI-Lab OpenAi entwickelte Roboterhand, die ohne menschliche Hilfe einen Rubik's Cube lösen kann. Beeindruckend ist nicht nur das Geschick dieser Hand, sondern auch die Schnelligkeit, mit der das ""Problem"" gelöst wird.

Was wie eine Spielerei aussieht, kann grosses Potenzial auch für Industrieroboter, Drohnen und andere autonome Maschinen haben. Wie in einem weiteren Video hier zu sehen ist, wird die Roboterhand während der Bewältigung der Aufgabe von mehreren künstlichen Hindernissen (z.B. einer Giraffe) gestört. Dennoch schafft es die Roboterhand zum Endergebnis zu kommen. Das Trainieren des Roboters basierend auf solchen komplexen Handhabungsaufgaben hat demnach enormes Potenzial für andere autonome Maschinen in der realen Welt, um ihr ...									",Kategorien Archiv: Artificial Intelligence
Eddy: ein KI-Reiseassistent per Chat und Sprachnachricht,"
                    Reisen über das Internet zu buchen ist zwar ""normal"", wird aber immer lästiger. Bis man sich durch die diversen Vergleichsportale gewühlt hat, sieht man meist den Wald vor lauter Bäumen nicht mehr und denkt bei jedem Hotel es schon einmal auf einer anderen Plattform zu billigeren Preisen gesehen zu haben.

Das Startup ""Eddy Travels"" möchte diesem Urwald mit seinem persönlichen Reiseassistenten basierend auf KI-Algorithmen entgegenwirken. Über alle beliebten Messenger-Dienste (z.B. WhatsApp) können Nutzer mit Eddy chatten, oder Sprachnachrichten aufnehmen und so Vorschläge für Flüge, Übernachtungen, Restaurants oder Reisetipps ganz einfach innerhalb von Sekunden bekommen. Der Chat-Bot analysiert per Sprachverarbeitungssystem sogar die Vorlieben des Nutzers und gibt so die besten...									",Kategorien Archiv: Artificial Intelligence
3. Startfeld Innovationsforum zum Thema “Jäger & Sammler: Mehrwert durch Datennutzung”,"
                    Big Data, Data Mining, Predictive Modelling, Data Analytics, Machine Learning. Daten sind das neue Öl. Welche Daten sind relevant? Wie fördern und veredeln Sie diesen Rohstoff im eigenen Unternehmen? Das 3. Startfeld Innovationsforum steht ganz im Fokus der vertieften Datennutzung. Erfahren Sie mehr über die neuesten Trends. Lernen Sie aus Insights von Best-Practice-Beispielen. Vertiefen Sie das Gehörte in anwendungsorientierten Workshops, um nicht nur Daten zu jagen und zu sammeln, sondern auch einen möglichst grossen Nutzen daraus zu ziehen. Weitere Informationen zum Innovationsforum und den Link zur Anmeldung finden Sie hier.									",Kategorien Archiv: Artificial Intelligence
Manipulierte Videos: Die Gefahr durch Deepfakes,"
                    Wenn Sie das unten angehängte Video schauen, sehen Sie eine öffentliche Ansprache des ehemaligen amerikanischen Präsidenten Barack Obama. Während Duktus und Mimik von unzähligen anderen Ansprachen bekannt sind, scheinen das Vokabular und der Inhalt der Rede so gar nicht zu Obama zu passen. Denn was wir hier sehen ist nicht der echte Obama, sondern ein durch künstliche Intelligenz erzeugtes Video, das vor den Gefahren ebensolcher ""Deepfakes"" warnen möchte. Deepfakes sind ""falsche, aber täuschend echt wirkende Bilder oder Videos, die automatisiert mit Hilfe neuronaler Netze erzeugt wurden"". Dabei werden Bilder von vergangenen Ansprachen genutzt und die Lippenbewegungen an das künstlich Gesprochene Wort angepasst. Die Stimme basiert ebenfalls auf echten Audiodaten.

Angesichts der ...									",Kategorien Archiv: Artificial Intelligence
AI for Everyone: Ein empfehlenswerter Crashkurs über Künstliche Intelligenz,"
                    Jeden Tag lesen wir in der Zeitung, in Magazinen, in Online Nachrichten und nicht zuletzt in diesem Newsletter von künstlicher Intelligenz. Wir wissen, dass die künstliche Intelligenz, tiefgreifende Folgen haben, und die Welt wie wir sie kennen verändern wird. Nahezu alle Branchen und viele Bereiche unseres täglichen Lebens werden betroffen sein (oder sind es schon). Dennoch verstehen die wenigsten von uns wie künstliche Intelligenz wirklich funktioniert, was sie kann, was (noch) nicht, und welche Szenarien reine Fiktion sind. Viele schrecken davor zurück sich mit dem Thema näher zu beschäftigen, weil sie es für zu technisch und kompliziert halten.

Ein neuer Coursera Onlinekurs schafft Abhilfe. In dem für 4 Wochen (insgesamt 9 Stunden) ausgelegten und kostenfrei zugänglichen ...									",Kategorien Archiv: Artificial Intelligence
AI generierte Gesichter: Können wir unseren Augen noch trauen?,"
                    Wenn Sie die Website thispersondoesnotexist.com besuchen, sehen Sie eine fremde Person. Auf den ersten Blick mag es aussehen wie ein mittelmässig getroffenes Foto aus einem alten Jahrbuch oder ein nicht sehr ratsames Bewerbungsbild. Nichts würde darauf hindeuten, dass dies keine echte Person ist - wenn es nicht die URL bereits verraten würde: Diese Person existiert nicht. Stattdessen wurden alle Bilder (lädt man die Seite neu, so erscheint ein neues Bild) von einer künstlichen Intelligenz generiert, die mit Bilddaten von zahllosen echten Personen gefüttert wurde. Ähnlich verhält es sich mit der Seite thisrentaldoesnotexist.com. Während es auf den ersten Blick so aussieht, als sei man auf eine buchbare Unterkunft (zum Beispiel von Airbnb) gestossen, handelt es sich in Wirklichkeit...									",Kategorien Archiv: Artificial Intelligence
Empfehlung: Future of Work Podcast der Bertelsmann Stiftung,"
                    Auf der Suche nach neuem Input zum Thema Intrapreneurship, bin ich über eine sehr spannende Podcast-Serie gestossen. Auf dem Blog „Zukunft der Arbeit“ veröffentlicht die Bertelsmann Stiftung in regelmäßigen Abständen Podcasts zur digitalen Transformation der Arbeitswelt.

(Mit dem Ohr) hängen geblieben, bin ich am Podcast #18: ein Interview mit dem Autor Greg Larkin über Intrapreneurship. In seinem Buch „This might get me fired“ beschreibt er wie große Konzerne, trotz fest gefahrener Strukturen, innovative und digitale Produkte in nur 8 Wochen auf den Markt bringen können. Das Buch richtet sich primär an Intrapreneurs, die sich nicht trauen riskante und unbekannte Wege zu gehen. Die Idee ist eben, so betont Larkin in dem Podcast, Intrapreneurs Strategien an die Hand zu ge...									",Kategorien Archiv: Corporate Entrepreneurship
Highlights vom Start Summit: Auf der Suche nach dem «Unicorn»,"
                    Der Start Summit ist die grösste Start-up Konferenz in Europa, die von Studierenden organisiert wird, und Unternehmertum und Technologie zusammenbringt. Rund 3200 Teilnehmer zählte das diesjährige Event. Ein Drittel seien Studierende, aber auch Jungunternehmer und Investoren gehörten dazu. Unsere Doktoranden Max und Arne waren auf dem zweitägigen Event und haben ihre Eindrücke mitgebracht.

Zu den Highlights des Summits gehörte der Auftritt von TV-Investor Frank Thelen, der einen Einblick über diejenigen Schlüsseltechnologien gab, in welche er mit seiner Venture-Capital-Firma Freigeist Capital investiert. N26 Gründer und HSG Alumni Valentin Stalf diskutierte auf der Hauptbühne über die Zukunft der FinTech-Branche. N26 zählt zu den sogenannten «Unicorns». So werden Start-up...									",Kategorien Archiv: Corporate Entrepreneurship
“Turbo-Digitizing at the Expense of Security?” Webinar mit Mario Silic und Shira Kaplan,"
                    Dr. Mario Silic schloss in 2015 seine Promotion bei uns am Lehrstuhl ab und forscht nun als Post-Doc in den Gebieten Information Security, Human Computer Interaction und Open Source Software. Zudem ist er Lehrbeauftragter an der Universität St. Gallen. Im Juni 2020 hat Mario zusammen mit Shira Kaplan, Harvard Absolventin und Gründerin einer Schweizer Cybersecurity Firma (Cyverse) ein interessantes Webinar zu Cybersecurity in Zeiten der Corona-Krise gegeben. Was in Bezug auf die Digitalisierung und Coworking vor einem Jahr noch als undenkbar erschien, wurde durch die Corona-Krise bedingt möglich gemacht. Damit hat die Pandemie ein neues Zeitalter der digitalen Zusammenarbeit eröffnet. Welchen Einfluss diese Entwicklung auf die Cybersicherheit hat und welche Risiken damit einher geh...									",Kategorien Archiv: Cyber Security
Mehr (digitale) Privatsphäre durch besondere Kleidung?,"
                    Durch die Digitalisierung entsteht ein ganz neues Bewusstsein für die Privatsphäre. Und so wird der Markt um Mode, die uns vor der Digitalisierung schützt bzw. uns Privatsphäre gibt, immer größer. Da wo die Camouflage-Kleidung Soldaten in der verstaubten Umgebung verschwinden lassen soll, ermöglichen es besondere Kleidungsstücke und Accessoires uns in der alltäglichen Umgebung vor Überwachungskameras und automatischer Gesichtserkennung zu schützen. Ein interessanter Artikel der Süddeutschen Zeitung wirft zu diesem Thema einen kritischen Blick auf den durch die Digitalisierung veränderten öffentlichen Raum und die damit einhergehende Entwicklung der Mode.  
Ähnliche Ziele der Nichterkennung können bei den Demonstranten auf den Strassen von Hongkong wahrgenommen werden. Mit ...									",Kategorien Archiv: Cyber Security
Jami – sicher chatten durch Blockchain,"
                    Mit dem Verschmelzen von Instagram, WhatsApp und Facebook in ein Unternehmen ist vor allem eines verloren gegangen: Datensicherheit. Und, dass Facebook hin und wieder mal Datenschutzgesezte missachtet, ist auch nichts Neues. Der Tonus ist klar: wir leben in einer Welt, in der die persönlichen Daten zu einer eigenen Währung geworden sind und der Markt um diese stark umkämpft ist. Eines der größten Probleme beim Sichern von Daten ist die zentralisierte Natur der Technologien, die verwendet werden, um die persönlichen Informationen zu speichern und zu verschlüsseln. Die grossgesprochene Technologie Blockchain bietet daher eine dezentralisierte Lösung zu diesem Problem.

Jami hat sich diese Technologie genauer angeschaut und mit dem Ziel ""Kommunizieren sicherer zu machen"" eine neu...									",Kategorien Archiv: Cyber Security
Storytelling im eLearning Kontext – Tipps für die Praxis,"
                    Storytelling gehört sowohl im Unternehmenskontext als auch an der Universität zu einer beliebten Methode, um komplexe Themen auf das Wesentliche zu reduzieren und mehr Begeisterung bei den Lesern, Lernenden oder dem Kunden zu erzeugen. Die Einsatzmöglichkeiten sind sehr divers und so kann Storytelling schon in einer einfachen Mail, bei einem Pitch vor Investoren oder im eLearning Kontext für mehr Aufmerksamkeit sorgen. Mit den richtigen Werkzeugen lassen sich so emotionalisierte Inhalte vermitteln. Die Firma YouKnow hat einen Leitfaden zusammengestellt, und erklärt hierbei wie Storytelling im Unternehmenskontext (z.B. für eLearning Plattformen) angewendet werden kann und zeigt welche Methoden zur Vorbereitung einer guten Story dienen. 
Tipp 1: Dem Fluch des Wissens entkommen: Sich s...									",Kategorien Archiv: Digital
Die Sprache der Videokonferenzen: die wichtigsten Handzeichen,"
                    Der YouTube-Kanal stefan m. seydel hat zu gegebenem Anlass ein Video zu den nützlichsten Handzeichen in Videokonferenzen veröffentlicht. Wir finden das Video sehr hilfreich, um Videocalls effizienter zu gestalten.

Wir haben alle Handzeichen in Bildern zusammengefasst. Das amüsante Video kann nach der Aufzählung angeschaut werden:



[embed]https://www.youtube.com/watch?v=W3FWJYMpTQM&feature=youtu.be[/embed]
Bildquellen:
Bild 1,2,3: Word
Bild 4: https://www.flaticon.com
Bild 5: https://creazilla.com/de/nodes/53774-frau-mit-ueberkreuzten-armen-clipart
Bild 6: https://emojiterra.com/de/zwei-erhobene-handflachen/
Titelbild: https://unsplash.com/photos/HJmxky8Fvmo ...									",Kategorien Archiv: Digital
Trendradar von fortiss zu aktuellen Softwarethemen,"
                    Das Forschungsinstitut des Freistaats Bayern für softwareintensive Systeme und Services (fortiss) hat einen Trendradar veröffentlicht, der darüber informieren soll, welche Softwarethemen momentan aktuell und relevant sind. Der Trendradar gibt eine objektive Bewertung zu aktuellen Technologien und Themenfeldern ab (z.B. Kategorie Machine Learning, Technologie Python). Wie auf dem linken Bild zu sehen ist, wird jede Technologie auf einer Skala von 0 – 100 gerankt, wobei 100 die maximale Relevanz wiedergibt. Mit einer Bewertung von 75 wird Pyhton eine hohe momentane Relevanz in der Kategorie Machine Learning zugesprochen. Nun ist das kein Wunder, doch was uns überrascht hat, waren die für uns unbekannten Technologien neben Python. Um ein tieferes Verständnis für die angegebenen Tech...									",Kategorien Archiv: Digital
High-Resolution Prototyp für das Gesundheitswesen,"
                    In diesem Frühjahrssemester haben unsere Masterstudierenden in unserem Kurs zu «Smart IoT & Mobile Business» vier High-Resolution-App-Prototypen entwickelt. Die Projekte wurden in den Bereichen Gesundheitswesen, Landwirtschaft, Coaching und Sport durchgeführt. Zum Beispiel hat das Team in der Kategorie Gesundheitswesen eine Lösung namens «Physio Care» konzipiert. Die Lösung bringt den Menschen eine individuell zugeschnittene Physiotherapie nach Hause. Wie das funktionieren soll? Die Studierenden haben die gesamte Physiotherapie-User-Journey einiger Patienten beobachtet. Dabei haben sie viele Touchpoints identifiziert, die digitalisiert werden können und dadurch transparenter und effektiver gestaltet werden können. Für die Lösungsentwicklung wurden die 5 Prozessschritte des ...									",Kategorien Archiv: Digital
Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”,"
                    Unser Lehrstuhl wirkt bei der Herausgabe der Zeitschrift «Wirtschaftsinformatik und Management» mit, welche Anfang Oktober zum Schwerpunktthema «IT und Sport» erscheint.
Der Call for Papers wie folgt:
Die Sportindustrie hat sich in den letzten Jahren zu einem der grössten Geschäftsmärkte weltweit entwickelt, welcher tief in unsere gesellschaftlichen Schichten eindringt. So strömen nicht nur Millionen von Fans wöchentlich zu ihrem Lieblingsverein ins Stadion, auch jeder Einzelne von uns versucht mehr oder weniger erfolgreich wöchentlich sportlich aktiv zu sein. Die zunehmende Durchdringung von Informationstechnologie in der Sportindustrie verändert dabei die unterschiedlichsten Aspekte wie wir Sport konsumieren aber auch selbst betreiben. Diese technischen, wirtschaftlichen und s...									",Kategorien Archiv: Digital
Fortschrittsverfolgung der Digitalen Transformation im Unternehmen – ausgehend von Digitale Reife Assessments,"
                    Die grösste kommunale Hausverwaltung Europas, Wiener Wohnen (WrW), verwaltet, saniert und bewirtschaftet in enger Zusammenarbeit mit der Stadt Wien 220`000 Gemeindewohnungen. Nach einem Klärungsworkshop vor Ort mit dem Digital Office machten wir uns zusammen mit einem studentischen Projektteam an die Arbeit, Anhand von Marktanalysen und Interviews mit Branchenvertretern wurde ein Modell zur digitalen Reifegradbestimmung entwickelt, das spezifisch auf die Bedürfnisse von WrW und dieser Branche zugeschnitten ist. Um es als Management-Instrument zur Fortschrittsverfolgung der Digitalen Reife einsetzen zu können, ist es um eine Auswahl an Key Performance Indikatoren für die verschiedenen Handlungsfelder ergänzt. In jährlichen Retrospektives und Iterationen soll es angepasst und weiteren...									",Kategorien Archiv: Digital
