Nummer;Kategorie (A-Z);Titel (A-Z)
93;Leseempfehlung;Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung
94;Leseempfehlung;Leseempfehlung: Studie über den Einsatz interner sozialer Netzwerke in Unternehmen
95;Leseempfehlung;Mehr (digitale) Privatsphäre durch besondere Kleidung?
96;Leseempfehlung;Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye
97;Leseempfehlung;Storytelling im eLearning Kontext – Tipps für die Praxis
98;Leseempfehlung;Studie – Digital Transformation Index 2020 von Dell Technologies
99;Leseempfehlung;Tipps und Tricks für erfolgreiches Präsentieren in Videokonferenzen
100;Leseempfehlung;Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?
101;Leseempfehlung;Zukunftsforscher Janszky über unser Leben und Arbeiten im Jahr 2030
102;Leseempfehlung;Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona)
103;Linktipps;360-Grad Bilder und VR-Brillen erklärt von der Maus
104;Linktipps;4 Tipps für die Einbindung von Videos in die Lehre – eine Studie mit Ergebnissen von vor Covid19
105;Linktipps;Digital Storytelling – möglicher Einsatz im Bildungskontext
106;Linktipps;E-LEARNING SO GEFRAGT WIE NOCH NIE
107;Linktipps;Global Learning Landscape 2021
108;Linktipps;Kleines E-Learning Glossar
109;Linktipps;Learning Analytics – Das Lernen der Zukunft basiert auf Smart Data
110;Linktipps;Management Weiterbildung – Megatrends sprechen für Aufwind
111;Linktipps;Methoden zur effektiveren Gestaltung von E-Postern
112;Linktipps;Motivation für die Online-Lehre: das preisgekrönte Video von Maryam Tsegaye
113;Linktipps;Studie – Digital Transformation Index 2020 von Dell Technologies
114;Linktipps;Zurück ins Büro? Mit diesen Veränderungen könnte es gehen (trotz Corona)
115;Management Tools;«Microsoft Teams»: eine Vereinigung von bisher separaten Teamarbeitstools
116;Management Tools;Clockify – ein Zeiterfassungssystem für projektübergreifende Teams
117;Management Tools;Global Learning Landscape 2021
118;Management Tools;Unsere Empfehlung: Online Brainstorming Tool „Miro“
119;Mobile Business;“Business-Thinking”-Fokus im Master-Kurs
120;Mobile Business;Bekanntgabe der nominierten Lösungen des Forum Day 2020
121;Mobile Business;Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen
122;Mobile Business;Ein Rückblick auf den Forum Day 2020: Smart IoT & Mobile Business
123;Mobile Business;Forum Day 2020 Updates
124;Mobile Business;Forum Day und Jurytag sind auf unbestimmte Zeit verschoben
125;Mobile Business;High-Resolution Prototyp für das Gesundheitswesen
126;Mobile Business;Jetzt Einreichen oder Workshop-Partner werden
127;Mobile Business;Noch bis zum 3. März Ihre Lösung einreichen und den Smart IoT oder Mobile Business Award 2020 gewinnen
128;Mobile Business;Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil
129;Mobile Business;Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.
130;Mobile Business;Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?
131;Praxisprojekt;45 Vorschläge, wie ein Garagenbetrieb effizienter wird – Studierende analysieren die «Autowerkstatt der Zukunft»
132;Praxisprojekt;DayCatcher: Achtsamkeits-Training in der Digitalen Welt
133;Praxisprojekt;Fortschrittsverfolgung der Digitalen Transformation im Unternehmen – ausgehend von Digitale Reife Assessments
134;Praxisprojekt;Forum Day: Rückblick auf den «Smart IoT & Mobile Business Award»
135;Praxisprojekt;High-Resolution Prototyp für das Gesundheitswesen
136;Praxisprojekt;Insights aus unseren studentischen Projekten
137;Praxisprojekt;Neues Projekt mit Smartfeld: filMINT für Kinder und Jugendliche
138;Productivity Tools;Clockify – ein Zeiterfassungssystem für projektübergreifende Teams
139;Productivity Tools;Time-Tracking – Effizienteres Arbeiten mit Timeular’s Zei
140;Productivity Tools;Unsere Empfehlung: Online Brainstorming Tool „Miro“
141;Publikation;Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?
142;Publikation;Innovation durch den Einsatz von Enterprise IoT-Lösungen: Ein Modell zur Bestimmung des Innovationspotenzials
143;Publikation;Unser Beitrag “The Startup Collaboration Model” im Buch Ecosystem Innovation von Kickstart
144;Smart-IoT;“Business-Thinking”-Fokus im Master-Kurs
145;Smart-IoT;Bekanntgabe der nominierten Lösungen des Forum Day 2020
146;Smart-IoT;Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»
147;Smart-IoT;Die Jurierung der eingereichten Lösungen für den Forum Day 2020 ist abgeschlossen
148;Smart-IoT;Ein Rückblick auf den Forum Day 2020: Smart IoT & Mobile Business
149;Smart-IoT;Forum Day 2020 Updates
150;Smart-IoT;Forum Day und Jurytag sind auf unbestimmte Zeit verschoben
151;Smart-IoT;High-Resolution Prototyp für das Gesundheitswesen
152;Smart-IoT;Jetzt Einreichen oder Workshop-Partner werden
153;Smart-IoT;Lach- und Sachgeschichten von der Maus: SmartHome
154;Smart-IoT;Noch einen Monat: Reichen Sie bis zum 12.3 Ihre Smart IoT oder Mobile Business Solution ein und nehmen Sie am Forum Day 2021 teil
155;Smart-IoT;Save the Date! Am 20. Mai 2021 findet der nächste Smart IoT & Mobile Business Forum Day statt.
156;Sponsored Post;Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch
157;Sponsored Post;E-LEARNING SO GEFRAGT WIE NOCH NIE
158;Sponsored Post;Kostenloses E-Learning zu Präventionsmassnahmen des Coronavirus
159;Sponsored Post;Studie zu E-Learning Trends – wie klappt das E-Learning bei Ihnen im Unternehmen?
160;Sponsored Post;Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»
161;Sports Digitalization;Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”
162;Sports Digitalization;Digitalisierung im Stadion – die Entwicklung einer mobilen Spieltags-App
163;Sports Digitalization;Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung
