Autor,Titel,Tags,Text
Prof. Dr. Andrea Back,"Data-Literacy-Kompetenzen vermitteln,Weitere Artikel",Leseempfehlung,"Von Digital Literacy hat man schon viel gehört, weniger aber über Data-Literacy. Für das ,Hochschulforum Digitalisierung, hat die Gesellschaft für Informatik gemeinsam mit dem Fraunhofer-Institut für Experimentelles Software-Engineering (IESE) ein Arbeitspapier (Nr. 32, Mai 18) verfasst, das Definitionen und den aktuellen Kenntnisstand dazu umfasst. Die Druckversion ,kann hier frei heruntergeladen werden,.,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
Prof. Dr. Andrea Back,"Digitale Transformation in der Praxis – Kundenorientierung, Innovation und Mut,Weitere Artikel",Lehrstuhlnachrichten,"Mit der ,Digital Maturity & Transformation Studie 2017, haben wir den Stand der digitalen Reife von mehr als 450 Unternehmen erhoben. Allerdings stellen sich viele Unternehmen die Frage „what’s next?“ – welche nächsten Schritte ergeben sich aus diesem Ergebnis. Unter den Unternehmen, die ihre digitale Transformation erfolgreich angepackt haben, sind auch die Shortlist Nominierten & Gewinner des Digital Transformation Awards. Vor welchen Herausforderungen sie standen und welche Lösungen sie entwickelt haben, berichten sie in unserem Kurzreport ,„Transformation in der Praxis“, ., ,Lukas Vogt, Head of Business Development bei der Sanitas, sagt „Vor fünf Jahren hätte ich nicht geglaubt, dass unsere Kundinnen und Kunden so schnell und bereitwillig auf digitale Kanäle wechseln.“ Durch agiles Vorgehen, schnelles Lernen aus Fehlern und stetige Verbesserungen der Kundenschnittstelle wurden die digitalen Kanäle zum Kunden hin auf deren Bedürfnisse zugeschnitten., ,Genau wie bei der Sanitas spielt das Thema Customer Experience bei Award-Gewinner Sunrise eine zentrale Rolle. Mit Hilfe von Customer Journeys konnten „Pain Points“ der Nutzer identifiziert werden, an die man bei einem reinen Website Relaunch nicht gedacht hätte. Ausserdem ermöglichte die Orientierung an Customer Journeys die Verbesserung der internen Prozesse., ,Die Weisse Arena Gruppe setzt darauf, mit einer eigenen Innovationseinheit, den Inside Labs, neue Ideen bewusst abseits des Tagesgeschäfts zu entwickeln. „Den Blick in die Zukunft zu richten und von bestehenden Vorurteilen und Herausforderungen loszulassen“ war allerdings laut Inside-Labs CEO Kris Paasila das Schwierigste in der digitalen Transformation., ,Dass man in der Transformation Altes loslassen muss, aber „darin enthaltene Substanzen als Basis für das Neue“ nutzen kann, war eine Erkenntnis von Ex Libris CEO Daniel Röthlin. Mit dem Einsatz von Machine-Learning Algorithmen wurde der Lieferantenprozess intelligenter gestaltet und erlaubt es so, höhere Margen zu erzielen.,Alle Beispiele finden Sie im Kurzreport ,„Transformation in der Praxis“,
						,Prof. Dr. Andrea Back,
							,Lehrstuhlnachrichten"
Prof. Dr. Andrea Back,"6. St.Gallen Mobile Business Forum am 7. Nov. in Zürich,Weitere Artikel",Lehrstuhlnachrichten,"Zum 6. Mal findet das St.Gallen Mobile Business Forum der Universität St.Gallen (IWI-HSG) statt, diesmal am Di 7. Nov. 2017 im Business Campus der Swisscom in Zürich. Wie werden heutzutage Innovationen im Digital Age gestaltet – was ist heute schon neu im Vergleich zu vor 5 Jahren, und welche neuen Prinzipien sind wo erfolgreich? Zum Studienthema konnten wir jeweils mehrere Interviews mit 9 Unternehmen – ABB, Audi, BSH, Bühler, Post, SBB, Schindler, Siemens, Zumtobel – führen.,Die Keynote von Christian Zeiler, Open Innovation Lead bei Generali, inspiriert mit Einblicken in das Innovations-Startup von Generali Lings. Von 15 Einreichern für den Mobile Business Best Practice Award werden sich die 5 Nominierten präsentieren.,Im beliebten Innovation-Speeddating-Format kommt man zu den innovativen Lösungen von Beekeeper, RealWear, Librestream, Open Web Technology und Loriot ins Gespräch, ebenso am Nachmittag bei den interaktiven Workshops mit JLS zu Chatbots und HP Enterprise zu IoT Intelligent Edge und Human Robot.,Mit dem Code , (eintragen bei Rechnungsadresse) offerieren wir 10 Tickets für Teilnehmer aus Anwenderunternehmen: CHF 350.- als Kostenbeitrag (statt CHF 850.-) – bis spätestens 3.11. wegen Catering-Planung. Weitere Infos und Anmeldeformular hier: ,mbforum.iwi.unisg.ch,.,
						,Prof. Dr. Andrea Back,
							,Lehrstuhlnachrichten"
Lena-Marie Paetzmann,"ZPE 2020: Digitaler Thementag „Learning & Training“ am 14. Oktober,Weitere Artikel","Digital,Future of Work,Learning Innovations,Linktipps","Vom 12. – 16. Oktober 2020 findet die ,ZP Europe (Zukunft Personal Europe),zum ersten Mal digital statt. Die ZP Europe ist das führende ExpoEvent rund um die Welt der Arbeit und präsentiert an fünf virtuellen Messetagen innovative Produktlösungen und Vorträge.,Am Thementag „Learning und Training“ (14. Oktober) werden live Online-Workshops mit Learning-Experten wie Jochen Robes (Robes Consulting, Hochschullehrer), Roman Rackwitz (Gamification Designer bei Engaginglab) und Gudrun Porath (Journalistin und Autorin) abgehalten und aktuelle Fragestellungen der Weiterbildung diskutiert. Unter anderem wird angeschnitten, welche neuen Bildungs- und Lernstrategien durch die Corona-Krise in den Vordergrund getreten sind, und wie man kurze und leicht verdauliche Lerneinheiten (Learning Nuggets) entwickelt und orchestriert.,Zudem werden folgende Vorträge und Workshops zu Trends in der digitalen Weiterbildung gehalten:,Die ,Registrierung für das Event ist kostenlos,auch wir werden uns zu einigen Vorträgen und Workshops reinschalten und sind schon sehr gespannt.,https://www.haufe.de/personal/personalszene/zpe-virtual-programmhighlights-rund-um-learning_74_525152.html,https://www.marketinginstitut.biz/blog/new-learning-moderner-lernansatz-fuer-die-digitale-zukunft/,
						,Lena-Marie Paetzmann,
							,Digital,, ,Future of Work,, ,Learning Innovations,, ,Linktipps"
Prof. Dr. Andrea Back,"Beitrag Marketplace an der SeLC: Mini Design Thinking Sprint zur Zukunft der Lehre,Weitere Artikel",Learning Innovations,"An der diesjährigen Schweizer E-Learning Konferenz (SeLC) in Oerlikon vom 4/5. April 2017 war unser Lehrstuhl mit einem Marketplace Beitrag vertreten. Vanessa Guggisberg hat einen Mini-Design Thinking Sprint mit den Teilnehmenden zum Thema “Wie sieht eine bedürfnisorientierte Lehre in Zukunft aus?” moderiert und in einem zweiten Schritt ihre 10 Learnings vom openSAP Kurs “Imagine IoT”, wo mittels Design Thinking Tools ein Prototyp zu einem Internet of Things-Use Case “gebaut” wurde, vorgestellt., , , ,
						,Prof. Dr. Andrea Back,
							,Learning Innovations"
Lena-Marie Paetzmann,"Berufliche Bildung im digitalen Zeitalter: Das Expertenportal “Learning Insights” startet durch,Weitere Artikel","Future of Work,Learning Innovations,Linktipps,Sponsored Post","„Berufliche Bildung im digitalen Zeitalter“ – dieses Thema treibt die Gründer des Expertenportals ,www.learning-insights.de, an. Vor drei Jahren haben sich ,das Ziel gesetzt, mit Learning Insights eine Informationsplattform für Bildungsexperten zu etablieren, die nahezu ausschließlich auf Videocasts setzt. Dabei stets im Fokus: die digitale Transformation und ihr Einfluss auf die Aus- und Weiterbildungsstrategien von Institutionen und Unternehmen. An den Beiträgen, die im laufenden Jahr publiziert wurden, wird das sehr deutlich. Hier ein kleiner Auszug:,Für die zurückliegenden Beiträge aller Experten fasst Wolfgang Reichelt die zentralen Erkenntnisse zusammen: „Die Digitalisierung in der betrieblichen Wirklichkeit und somit auch in der beruflichen Bildung ist eine riesige Herausforderung für Unternehmen und Beschäftigte. Es gibt keinen Königsweg, wie man damit idealerweise umgehen sollte. Vielmehr handelt es sich um einen dauerhaften iterativen Näherungsprozess. Darin müssen sich möglichst agile Aus- und Weiterbildungssysteme immer wieder als reaktions- und lösungsfähig erweisen, sobald der digitale Änderungsdruck neue Lösungen fordert. Gleichzeitig haben die Unternehmen aber ein großes Bedürfnis nach Planungssicherheit, Vergleichbarkeit und modernisierter Grundlagenbildung vor dem Hintergrund des demografischen Wandels. Diese gegenläufigen Entwicklungen und Interessen auszutarieren, ist sicher eine der großen Herausforderungen, die die Bildungsexperten zusammen mit ihren Stakeholdern bewältigen müssen“.,Aus der weiteren Veröffentlichungsplanung von Learning Insights wird klar, dass es hier noch viele Ideen und Meinungen gibt, die interessante Sichtweisen aufzeigen. Den ein oder anderen Beitrag von Learning Insights werden Sie in Zukunft auch auf unserem Blog zu lesen bzw. sehen bekommen. ,
						,Lena-Marie Paetzmann,
							,Future of Work,, ,Learning Innovations,, ,Linktipps,, ,Sponsored Post"
Prof. Dr. Andrea Back,"Buch Homo Deus – in was für einer Zukunft wollen wir leben?,Weitere Artikel",Leseempfehlung,"Homo Deus – Eine Geschichte von Morgen”,Pecha-Kucha-Präsentation,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
Arne Grüttner,"Call for Papers: WuM Heft 5 Themenschwerpunkt “IT und Sport”,Weitere Artikel","Digital,Lehrstuhlnachrichten,Sports Digitalization","Unser Lehrstuhl wirkt bei der Herausgabe der Zeitschrift ,«Wirtschaftsinformatik und Management», mit, welche Anfang Oktober zum Schwerpunktthema «,» erscheint.,Der Call for Papers wie folgt:,Die Sportindustrie hat sich in den letzten Jahren zu einem der grössten Geschäftsmärkte weltweit entwickelt, welcher tief in unsere gesellschaftlichen Schichten eindringt. So strömen nicht nur Millionen von Fans wöchentlich zu ihrem Lieblingsverein ins Stadion, auch jeder Einzelne von uns versucht mehr oder weniger erfolgreich wöchentlich sportlich aktiv zu sein. Die zunehmende Durchdringung von Informationstechnologie in der Sportindustrie verändert dabei die unterschiedlichsten Aspekte wie wir Sport konsumieren aber auch selbst betreiben. Diese technischen, wirtschaftlichen und sozialen Auswirkungen ziehen vielfältige Wechselwirkungen mit sich, die nahezu unerforscht sind. In unserer nächsten Ausgabe beleuchten wir daher die Implikationen der Informationstechnologie für die Sportindustrie. Geeignete Themen sind unter anderem (aber nicht beschränkt auf) die folgenden:,Falls Sie einen Beitrag zum Heft beitragen wollen, können Einreichungen in Form eines Abstracts (250 bis 500 Wörter) bei uns an ,arne.gruettner@unisg.ch, eingereicht werden. ,
						,Arne Grüttner,
							,Digital,, ,Lehrstuhlnachrichten,, ,Sports Digitalization"
Christian Marheine,"Call for Papers: WuM Heft Themenschwerpunkt «Digitale Plattformen und Ökosysteme»,Weitere Artikel","Digital,Lehrstuhlnachrichten,Smart-IoT","Unser Lehrstuhl wirkt bei der Herausgabe der Zeitschrift «Wirtschaftsinformatik und Management» mit, welche im Frühjahr 2021 zum Schwerpunktthema «,» erscheint.,Digitale Plattformen sind in der Praxis hoch relevant und sind in den letzten Jahren auch zu einem beliebten Forschungsthema von Wissenschaftler/innen aus den Bereichen Betriebswirtschaft, Strategie, Marketing, Recht und Informatik geworden. Ausserdem bilden Plattformunternehmen wie Apple, Microsoft, Amazon und Alphabet mit einer Marktkapitalisierung von jeweils über einer Billion US-Dollar heute die wertvollsten Unternehmen der Welt. Die Machtverlagerung von klassischen Pipeline-Organisationen hin zu digitalen Plattformen zeigen die neue Realität der Plattform-Ökonomie. Hinzu kommt, dass neue Technologien – wie das Internet der Dinge (IoT), 5G, Blockchain, Cloud Services (AWS, Azure, Google Cloud), analytische Software, und Cybersecurity – die Art und Weise verändern, wie innovative Produkte und Dienstleistungen im den nächsten Jahren entwickelt, bereitgestellt und verwaltet werden. In unserer nächsten Ausgabe beleuchten wir daher wie sich diese neuen Technologien auf Plattformgeschäfte und die dahinterstehenden Ökosysteme auswirken. Wir definieren Plattformen daher sehr allgemein als eine technologische Basis, die es Teilnehmern ermöglicht, durch Daten, Innovationen und Transaktionen, Werte zu schaffen.,Geeignete Themen sind unter anderem (aber nicht beschränkt auf) die folgenden:,Falls Sie einen Beitrag zum Heft beitragen wollen, können Einreichungen in Form eines Abstracts (250 bis 500 Wörter) bei uns an ,christian.marheine@unisg.ch, eingereicht werden. ,https://www.dotmagazine.online/issues/digitalization-creating-the-new-world/the-smart-digital-ecosystem ,
						,Christian Marheine,
							,Digital,, ,Lehrstuhlnachrichten,, ,Smart-IoT"
Prof. Dr. Andrea Back,"Silicon Valley Satire – Mehr als eine Kurzgeschichte,Weitere Artikel",Leseempfehlung,"Über die Manager und ihr Treiben im Silicon Valley kennt man ja nicht so etwas wie Ostfriesenwitze. Aber jetzt gibt es zumindest einen satirischen Roman, frei auf Medium zu lesen: , – A Totally Fictional But Essentially True Silicon Valley Story, Eine Aussteigerin gibt zum Besten, was sie als Insiderin mitbekommen hat.,Die Reinigungskraft Arsyen, dort Sanitation Engineer genannt, wird beim Recruiting-Gespräch versehentlich für einen Software Engineer gehalten und eingestellt, ja er avanciert sogar unerkannt zum Product Manager. Der Chef Bobby dieses Unternehmens, einer der digitalen Giganten im Valley, macht in Meetings immer wieder mal seine Yoga-Asanas auf dem Besprechungstisch. Und wie kommt die Autorin nur darauf: Der “Head Engineer” Gregor kommt von der Uni Liechtenstein?  (,).,Manches zum Kopfschütteln kommt einem sehr bekannt vor, d.h. ist auch schon zu uns herüber geschwappt; es besteht also Hoffnung, dass sich bald einmal – vielleicht sogar hierzulande – ein passendes Witzgenre dafür entwickelt.,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
Prof. Dr. Andrea Back,"Kolumne: Digitales Spiegelkabinett,Weitere Artikel",Kolumne,"Bei Zürich gibt es einen Militärflugplatz, für den andere Nutzungen gesucht werden. Der Think-Tank “Denk-Allmend” hat Ideen dafür gesammelt. Den 2. Preis gewann ,das Projekt “Ein Moment der Klarheit”,. Dessen Vorschlag ist, das gesamte Flugplatzareal mit einem Spiegel auszulegen, der den Himmel auf den Boden und in den Blick holt. Mir drängte sich sofort der Gedanke auf: Ist doch erstaunlich, wie Kunstideen den Zeitgeist zum Ausdruck bringen. Denn mir scheint aktueller Zeitgeist zu sein, dass es immer mehr Apps gibt, mit denen wir uns den Spiegel für verschiedene Facetten unseres Lebens vorhalten können., ,Da ist zum Beispiel die ,Privacy-Awareness-App,, die uns Klarheit darüber verschafft, wie wir im Spiegel von Facebook aussehen. Man logged sich mit seinem Account ein, und in wenigen Sekunden bekommt man die Zusammenstellung “What Facebook shares about you”. Die Anwendung fragt die elektronischen Schnittstellen ab, über die Nutzerdaten an zahlende Kunden weiterleitet werden (vgl. FAZ “Falle Facebook”, 4.2.14, S. 31). Ich nutze dieses soziale Netzwerk zu wenig, um mich mit dieser Auswertung richtig zu erschrecken; bei Vielnutzern ist das Ergebnis bestimmt effektvoller., ,Aber man muss gar nicht in Facebook klicken und posten, um im digitalen Spiegelkabinett mit unterwegs zu sein. Gerade habe ich die Anwendung ,Rescue Time, installiert. Sie schaut mir beim Arbeiten am Computer laufend auf die Finger und zeichnet auf, wieviel Zeit ich in diversen Websites, in Social Media und mit anderen Programmen verbringe. Am Ende der Woche kommt dann der zusammenfassende Bericht und die Stunde der Wahrheit: Wo war die Zeit produktiv eingesetzt und wo vielleicht eher verplempert? Vermutlich erwartet mich ein heilsamer Schock, wenn meine E-Mail-Zeit um ein Vielfaches höher ausfällt als geschätzt – vielleicht setze ich dann den Vorsatz um, die E-Mailbearbeitung auf feste Zeiten zu beschränken., ,Wo ich nun freudig darauf gespannt bin, meine geistigen Arbeitsplatz-Workouts im Performance-Dashboard zu betrachten, fehlt ergänzend noch, dass ich mein digitales Fitness-Ich in den Blick nehme. Das Monitoring von körperlichen Betätigungen ist technisch ja kein Problem. Mit Fitness-Armbändern und Konsorten lassen sich Laufleistung, Gewicht, Schlafverlauf und vieles mehr leicht aufzeichnen. Eine der weitestgehenden Anwendungen dafür ist ,Dacadoo,, mit der man seinen Health-Score kontinuierlich monitoren kann. Als ich mir diesen Dienst näher angeschaut habe, wurde mir ziemlich unheimlich zumute. Dessen Nutzern wünsche ich einen “Moment der Klarheit”, der ganz ohne digitalen Spiegel auskommt und sie ihn zur Seite legen lässt.,
						,Prof. Dr. Andrea Back,
							,Kolumne"
Lena-Marie Paetzmann,"Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,Weitere Artikel","Digital,Future of Work,Learning Innovations,Leseempfehlung,Linktipps,Mobile Business","Googelt man das Stichwort “digitales Lernen”, so ist der Phantasie keine Grenzen gesetzt: die innovativsten Ansätze mit Künstlicher Intelligenz und Co. werden für die Zukunft prognostiziert. Doch mit welchen digitalen Weiterbildungstools können wir in den nächsten drei Jahren wirklich rechnen? Das ,mmb-Institut, hat im Februar eine neue ,Trendstudie, zu diesem Thema veröffentlicht, die auf einer Befragung von über 60 Experten und Expertinnen aus dem Feld “digitales Lernen” basiert. Wir haben uns diese genauer angeschaut und die drei spannendsten Prognosen hier zusammengefasst:, Sehr spannend war die Frage nach den zukunftsträchtigsten Lernformen: , haben hier mit 94% klar gewonnen. Doch auch Blended Learning, was soviel wie die Mischung von Präsenzlernen und digitalem Lernen bedeutet, werden noch eine grosse Rolle spielen (92%). Weniger relevant werden Webinare und Social Networks, so die Experten und Expertinnen. Auf der diesjährigen Learntec hat das mmb-Institut einen sehr spannenden Beitrag zu Youtube-Videos und die Einbindung in die Lehre gehalten. Der Vortrag kann in voller Länge ,HIER, (wohlgemerkt auf YouTube) angeschaut werden., Nicht überraschend, aber dennoch wichtig, war die Antwort von 86% der Befragten, dass , auch weiterhin eine grosse und wichtige Rolle spielen werden. Mitarbeiter wollen schnell und “on-the-go” Inhalte erreichen können – da ist das mobile Smartphone der perfekte Begleiter. Auch das Lernen über “digitale Themen” spielt in Zeiten der digitalen Transformation eine wichtige Rolle. Um digital fit zu werden, hat pwc eine ,App,entwickelt, die es Mitarbeitern ermöglichen soll sich in digitale Trendthemen einzulesen und wichtige Kernthemen vertieft zu recherchieren (z.B. Big Data Anwendungen in der Versicherungsbranche). Spielerisch kann man über die App an seinem digitalen Fitnessscore arbeiten und ganz nach persönlicher Präferenz einen Lernrhythmus auswählen. Wir finden die Idee echt super, wenn es doch nur umsonst wäre., Der Grossteil der Umfrage hat sich dem Thema “Künstliche Intelligenz und Lernen” gewidmet. Die Experten und Expertinnen schätzen, dass KI-basierte Lösungen in den kommenden Jahren immer wichtiger werden, vor allem im Bereich ,. Das Ziel dieser Tools ist es, dass die Lernplattform mit jeder Nutzung “schlauer” wird und somit den Zugriff auf bestimmte Lernfelder präsenter oder weniger präsent darstellt.,
						,Lena-Marie Paetzmann,
							,Digital,, ,Future of Work,, ,Learning Innovations,, ,Leseempfehlung,, ,Linktipps,, ,Mobile Business"
Lena-Marie Paetzmann,"Swissteach AG gemeinsam mit CULTURE CONTACT auf dem Vormarsch in Sachen «Kulturelle Kompetenz»,Weitere Artikel","Agile Innovation,Artificial Intelligence,Digital,Future of Work,Learning Innovations,Linktipps,Sponsored Post"," Die ,Swissteach AG, hat ihr Portfolio im letzten Jahr merklich erweitert: seit Anfang 2019 hat der E-Learning Experte auch seinen Contentbereich in rekordverdächtiger Zeit auf- und beachtlich ausgebaut. Neben intern produzierten Individualcontents bietet die Schweizer Firma auch diverse Standardlösungen von Partnerfirmen zum sofortigen Gebrauch an. Hierbei setzt die Swissteach – wie bei all ihren Lösungen – fokussiert auf extrem hohe Qualität. Dies zeigt sich nicht nur durch den Gewinn des E-Learning Awards 2020 (in der Kategorie «WBT»), sondern auch in der Wahl ihrer Partner:,Kürzlich nun hat die Swissteach ihre Partnerschaft mit , bekannt gegeben. Das genannte Münchner Unternehmen mit CEO Susanne M. Zaninelli, ist spezialisiert auf Seminare im Bereich «Kulturelle Kompetenz». Susanne M. Zaninelli arbeitet bereits seit 30 Jahren als Coach in diesem Bereich und wird regelmässig von Unternehmen wie Bosch und Rodenstock engagiert. Da genannte Seminare immer schon weit im Voraus ausgebucht sind, suchte CULTURE CONTACT nach einer Lösung, um noch mehr Unternehmen die Möglichkeit zu geben ihren Bedarf zu decken. Schliesslich ist Kulturelle Kompetenz ein entscheidender Erfolgsfaktor für jedes Unternehmen. Einerseits, um über unterschiedliche Organisations-, Regional- und Landeskulturen effektiv zusammenzuarbeiten. Andererseits, weil die dramatischen Veränderungen – Stichworte «Industrie 4.0», «Digitalisierung», «Agilität» und «Künstliche Intelligenz» – die Fähigkeit und Bereitschaft zu einem tiefgreifenden kulturellen Wandel erfordern. Neue Technologien und Methoden führen nur mit dem richtigen «Mindset» und entsprechendem Verhalten zum Erfolg. Ein Thema das auch durch die aktuelle Ausnahmesituation rund um Corona mehr als aktuell ist!,In intensiver Zusammenarbeit haben CULTURE CONTACT und Swissteach es nun geschafft, das sehr gefragte, komplexe Thema in qualitativ hochwertige E-Learnings zu übertragen und somit allen Unternehmen die Möglichkeit zu geben, ihre Mitarbeiter kurzfristig, einfach und effizient auf höchstem Niveau darin weiterzubilden!,Die ersten Module des Programms sind bereits live und werden sehr rege angefragt. Wer neugierig ist, bekommt über nachfolgende Kontaktdaten schnell und unkompliziert weitere Details: einfach Mail an ,sales@swissteach.ch. ,
						,Lena-Marie Paetzmann,
							,Agile Innovation,, ,Artificial Intelligence,, ,Digital,, ,Future of Work,, ,Learning Innovations,, ,Linktipps,, ,Sponsored Post"
Prof. Dr. Andrea Back,"Augmented Worker – Reparatur einer Wärmepumpe mit der Hololens,Weitere Artikel",Mobile Business,"Am Stand von ,Swisscom ,am diesjährigen ,Start Summit,, Konferenz für Studierende, Gründer und Investoren für Tech-Startups, durften wir selber in die Schuhe eines Fieldworkers treten und eine Wärmepumpe mithilfe einer Microsoft Hololens reparieren. Während wir untersuchen, wie Technologien in der, ja man könnte schon fast sagen “Post-App Era”, zur Unterstützung von Mitarbeitenden genutzt werden können, kam die “hands on” Übung am Swisscom Stand genau richtig.,Spannend war, wie mittels Augenfokus mit der Hololens Brille interagiert werden kann. So kann der Fieldworker beispielsweise ein Handbuch-Menü öffnen, welches einem bei den Schritten zum Check bzw. Reparatur einer Wärmepumpe hilft. Unter anderem könnte man auch über die Brille Kontakt zu einem Experten aufnehmen, falls das digitale Handbuch nicht weiterhilft. Tricky war aber, den Steuerungspunkt mit den Augen so zu setzen, damit die Brille unser Vorhaben richtig interpretiert – so wie auch der Umgang mit dem Trackpad eines Laptops oder dem Touchsreen eines Smartphones gelernt sein will. Dennoch sehen wir dies als eine Art von Unterstützung für Fieldworker, die in Zukunft verstärkt zum Einsatz kommen dürfte: der “Augmented Worker”, unterstützt durch moderne Technologien, Daten, Wearables oder mobilen Geräten und zukünftig auch maschinellem Lernen.,Der diesjährige Start-Summit fand am 24./25. März in St.Gallen unter dem Thema “be where innovation happens” statt. Die Konferenz wird jährlich von Studierenden der Universität St.Gallen (HSG) organisiert und hat zum Ziel, Studierende, Gründer und Investoren zusammenzubringen. Mit über 2’000 Teilnehmenden ist die Konferenz seit 1997 zu einer relevanten Veranstaltung in der Schweiz herangewachsen und hat mit START Global inzwischen europaweite Ableger.,
						,Prof. Dr. Andrea Back,
							,Mobile Business"
Lena-Marie Paetzmann,"Welche Trends werden in drei Jahren das digitale Lernen und die Weiterbildung bestimmen?,Weitere Artikel","Digital,Future of Work,Learning Innovations,Leseempfehlung,Linktipps,Mobile Business","Googelt man das Stichwort “digitales Lernen”, so ist der Phantasie keine Grenzen gesetzt: die innovativsten Ansätze mit Künstlicher Intelligenz und Co. werden für die Zukunft prognostiziert. Doch mit welchen digitalen Weiterbildungstools können wir in den nächsten drei Jahren wirklich rechnen? Das ,mmb-Institut, hat im Februar eine neue ,Trendstudie, zu diesem Thema veröffentlicht, die auf einer Befragung von über 60 Experten und Expertinnen aus dem Feld “digitales Lernen” basiert. Wir haben uns diese genauer angeschaut und die drei spannendsten Prognosen hier zusammengefasst:, Sehr spannend war die Frage nach den zukunftsträchtigsten Lernformen: , haben hier mit 94% klar gewonnen. Doch auch Blended Learning, was soviel wie die Mischung von Präsenzlernen und digitalem Lernen bedeutet, werden noch eine grosse Rolle spielen (92%). Weniger relevant werden Webinare und Social Networks, so die Experten und Expertinnen. Auf der diesjährigen Learntec hat das mmb-Institut einen sehr spannenden Beitrag zu Youtube-Videos und die Einbindung in die Lehre gehalten. Der Vortrag kann in voller Länge ,HIER, (wohlgemerkt auf YouTube) angeschaut werden., Nicht überraschend, aber dennoch wichtig, war die Antwort von 86% der Befragten, dass , auch weiterhin eine grosse und wichtige Rolle spielen werden. Mitarbeiter wollen schnell und “on-the-go” Inhalte erreichen können – da ist das mobile Smartphone der perfekte Begleiter. Auch das Lernen über “digitale Themen” spielt in Zeiten der digitalen Transformation eine wichtige Rolle. Um digital fit zu werden, hat pwc eine ,App,entwickelt, die es Mitarbeitern ermöglichen soll sich in digitale Trendthemen einzulesen und wichtige Kernthemen vertieft zu recherchieren (z.B. Big Data Anwendungen in der Versicherungsbranche). Spielerisch kann man über die App an seinem digitalen Fitnessscore arbeiten und ganz nach persönlicher Präferenz einen Lernrhythmus auswählen. Wir finden die Idee echt super, wenn es doch nur umsonst wäre., Der Grossteil der Umfrage hat sich dem Thema “Künstliche Intelligenz und Lernen” gewidmet. Die Experten und Expertinnen schätzen, dass KI-basierte Lösungen in den kommenden Jahren immer wichtiger werden, vor allem im Bereich ,. Das Ziel dieser Tools ist es, dass die Lernplattform mit jeder Nutzung “schlauer” wird und somit den Zugriff auf bestimmte Lernfelder präsenter oder weniger präsent darstellt.,
						,Lena-Marie Paetzmann,
							,Digital,, ,Future of Work,, ,Learning Innovations,, ,Leseempfehlung,, ,Linktipps,, ,Mobile Business"
Lena-Marie Paetzmann,"Eddy: ein KI-Reiseassistent per Chat und Sprachnachricht,Weitere Artikel","Artificial Intelligence,Digital,Mobile Business","Reisen über das Internet zu buchen ist zwar “normal”, wird aber immer lästiger. Bis man sich durch die diversen Vergleichsportale gewühlt hat, sieht man meist den Wald vor lauter Bäumen nicht mehr und denkt bei jedem Hotel es schon einmal auf einer anderen Plattform zu billigeren Preisen gesehen zu haben.,Das Startup “,Eddy Travels,” möchte diesem Urwald mit seinem persönlichen Reiseassistenten basierend auf KI-Algorithmen entgegenwirken. Über alle beliebten Messenger-Dienste (z.B. WhatsApp) können Nutzer mit Eddy chatten, oder Sprachnachrichten aufnehmen und so Vorschläge für Flüge, Übernachtungen, Restaurants oder Reisetipps ganz einfach innerhalb von Sekunden bekommen. Der Chat-Bot analysiert per Sprachverarbeitungssystem sogar die Vorlieben des Nutzers und gibt so die besten und preiswertesten Vorschläge gesammelt in einem erfrischenden Chat aus. Und sowieso verbringen wir täglich etwas ,über zwei Stunden auf den Sozialen Medien, und chatten, wieso eigentlich nicht auch mit Eddy schreiben und sich so die nächste Reise in den Skiurlaub zusammenstellen lassen (und das alles auch noch mit einem Lächeln, denn Wortwitz hat er auch).,
						,Lena-Marie Paetzmann,
							,Artificial Intelligence,, ,Digital,, ,Mobile Business"
Prof. Dr. Andrea Back,"Artificial Intelligence – Studierende wollen Anwendungen hands-on verstehen,Weitere Artikel",Leseempfehlung,"In meiner Lehrveranstaltung „Value Creation with (Big) Data: Enterprise Solutions and Technologies for Text Analytics” frage ich neuerdings nach jedem Modul um Feedback. Und da zeigt sich, selbst Business-Studierende wollen nicht nur Live-Demos zum Zuschauen, sondern Hands-on-Erfahrung mit softwaretechnischen Umgebungen. O.k., da muss ich also ran, z.B. versuchen wir es mal mit Chatbots. Und ich habe eine gute Hilfe gefunden, ganz aktuell in der Redbooks-Serie von IBM: ,Building Cognitive Applications with IBM Watson Services,. Auch sonst für Lehrveranstaltungen auf diesem Gebiet eine ergiebige Quelle, z.B. die Einführung zu Cognitive Computing in Volume 1: Getting Started.,Bildquelle: ,wikipedia.com, AlphaZeta,
						,Prof. Dr. Andrea Back,
							,Leseempfehlung"
