web-scraper-order,web-scraper-start-url,loadmore,loadmore-href,loadstores,loadstores-href,adresse,telefon,website
"1615369780-10","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Vitalis Bioladen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/vitalis-bioladen.html","Güterstrasse 203, 4053 Basel","+41 61 361 55 60","null"
"1615369759-4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Wyleregg-Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/wyleregg-laden-.html","Wylerstrasse 49, 3014 Bern","+41 31 331 21 30","null"
"1615370191-127","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Egli Löwenstrasse - Natural beauty & more","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/egli-loewenstrasse.html","Löwenstrasse 30, 8001 Zürich","+41 43 497 37 70","null"
"1615370053-88","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Le Petit-Paradis","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/le-petit-paradis-.html","Pl. du Petit-Paradis 24, 1700 Fribourg","+41 26 323 32 80","null"
"1615370325-164","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio-Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-laden.html","Städtchen 8, 8730 Uznach","+41 55 280 49 42","null"
"1615370370-177","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio Bäckerei zum Lindhof","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-baeckerei-zum-lindhof.html","Lindhofstrasse 53, 8617 Mönchaltorf","null","null"
"1615370102-101","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","L'Ultimo Bacio","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/raegeboge-obertor.html","Obertor 5, 8400 Winterthur","+41 52 203 16 43","null"
"1615370077-94","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Laden an der R.Steiner Schule","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/laden-an-der-rsteiner-schule.html","Schützengasse 54, 2502 Biel/Bienne","+41 32 342 61 28","null"
"1615370404-187","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","ArteBio","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/artebio.html","Av. de Riant-Mont 2, 1004 Lausanne","+41 21 311 22 33","null"
"1615370415-190","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Andermatt Andreas","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/andermatt-andreas.html","Paradies, 9323 Steinach","+41 71 845 32 29","null"
"1615369894-43","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Rudolf Steiner Schule Sihlau /Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/rudolf-steiner-schule-sihlau-laden.html","Sihlstrasse 23, 8134 Adliswil","+41 44 713 23 53","null"
"1615370008-75","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Natur + Leben Centaurea","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/natur--leben-centaurea.html","Hauptstrasse 30, 9434 Au SG","+41 71 744 66 57","null"
"1615370408-188","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Arco Bio-Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/arco-bio-laden.html","Obere Stallstrasse 2, 7430 Thusis","+41 81 655 25 65","null"
"1615369756-3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Yardo Partner","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/yardo-partner.html","Centro 6, 8754 Netstal","+41 55 640 32 33","null"
"1615370136-111","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gmüesgarten Schirmensee","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gmueesgarten-schirmensee.html","Bahnhofstrasse 2, 8714 Feldbach","+41 55 244 24 30","null"
"1615370109-103","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Kornblume","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/kornblume.html","Wiesenstrasse 10, 4900 Langenthal","+41 62 922 75 58","null"
"1615370147-114","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Genossenschaft Hand in Hand","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/genossenschaft-hand-in-hand.html","Hauptstrasse 25, 6170 Schüpfheim","+41 41 484 20 40","null"
"1615370418-191","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Andeerer Sennerei","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/andeerer-sennerei.html","Sennerei, 7440 Andeer","+41 81 661 13 15","null"
"1615370133-110","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gsund & Gnuss","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gsund-a-gnuss.html","Kreuzgasse 15, 3076 Worb","+41 31 311 07 07","null"
"1615370230-138","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Chäslaube M. Kündig","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/chaeslaube-m-kuendig.html","Am Marktplatz, 9400 Rorschach","+41 71 841 17 75","null"
"1615370199-129","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Egli Christoffel","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/egli-christoffel.html","Im Bahnhof, 3011 Bern","+41 31 311 56 11","null"
"1615369867-35","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Schüüre","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/schueuere.html","Waldeck 95, 4204 Himmelried","+41 61 741 11 38","null"
"1615370188-126","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Egli Plaza","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/egli-plaza.html","Im Bahnhof, 8001 Zürich","+41 44 212 46 07","null"
"1615370050-87","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Le Relais de la Nature","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/le-relais-de-la-nature.html","Place de l'Octroi 10, 1228 Carouge","+41 22 342 96 21","null"
"1615370043-85","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","LOLA","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/lola.html","Lorrainestrasse 27, 3013 Bern","031 332 00 22","null"
"1615369801-16","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Verse","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/verse.html","Nidaugasse 14, 2502 Biel/Bienne","+41 32 323 76 23","null"
"1615370032-82","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Marché-Bio Kalt","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/marche-bio-kalt.html","Les eterpis 2, 1124 Gollion","+41 21 861 11 81","null"
"1615370356-173","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio im Zentrum","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-im-zentrum.html","Uitikonerstrasse 9, 8952 Schlieren","+41 44 730 82 70","null"
"1615369874-37","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Schlössli-Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/schloessli-laden.html","Kirchrain 15, 3232 Ins","+41 32 313 11 09","null"
"1615369783-11","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Vital Punkt GmbH","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/vital-punkt-gmbh.html","St. Leonhardstrasse 33, 9000 St. Gallen","+41 71 226 11 55","null"
"1615370377-179","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Becke-Martin Frischprodukte","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/becke-martin-frischprodukte.html","Kirchgasse 7c, 4402 Frenkendorf","+41 61 901 62 36","null"
"1615370067-92","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Le Chat Noir","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/le-chat-noir.html","null","+41 26 673 23 65","null"
"1615370223-136","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Christen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/christen.html","Teufenerstrasse 145, 9012 St. Gallen","+41 71 277 84 12","null"
"1615370174-122","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Fischermätteli - Lade","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/fischermaetteli-lade.html","Weissensteinstrasse 29a, 3008 Bern","+41 31 371 77 59","null"
"1615369821-22","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Terra Bio","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/terra-bio.html","Bahnhofstrasse 17, 8708 Männedorf","+41 44 920 50 44","null"
"1615369832-25","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Stedtli-Lade","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/stedtli-lade.html","Rathausstrasse 31, 4410 Liestal","+41 61 922 22 82","null"
"1615369852-31","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","SOLBIO","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/solbio.html","Halles 13, 2000 Neuchâtel","+41 32 724 46 14","null"
"1615370366-176","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","BIO Betschla reform","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-betschla-reform.html","Stradun 335, 7550 Scuol","+41 81 864 73 74","null"
"1615370315-161","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio-Source","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-source.html","Rue de Gibraltar 20, 2000 Neuchâtel","+41 32 725 14 13","null"
"1615369939-55","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","oka superfoods","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/oka-superfoods.html","Obertor 7, 8400 Winterthur","0798981939","null"
"1615369967-63","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Negozio da mont","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/negozio-da-mont.html","Ces, 6747 Chironico","null","null"
"1615369953-59","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Oase - Laden & Bistro","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/oase-laden-a-bistro.html","Dorfstrasse 45, 8630 Rüti ZH","+41 55 260 20 06","null"
"1615370157-117","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gänterli Bio Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gaenterli-bio-laden.html","St. Urbangasse 59, 4500 Solothurn","+41 32 622 22 46","null"
"1615370106-102","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","L'Ultimo Bacio","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/lultimo-bacio.html","Nordstrasse 227, 8037 Zürich","+41 44 272 00 55","null"
"1615370212-133","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","de Blacke Chrömer","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/de-blacke-chroemer.html","Marktgasse 3, 9050 Appenzell","+41 71 787 19 43","null"
"1615369980-67","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Natürli GmbH","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/natuerli-gmbh.html","Hauptstrasse 5, 9320 Arbon","+41 71 440 37 38","null"
"1615370060-90","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Le Panier Bio","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/le-panier-bio.html","60 Route de Thonon, 1222 Vésenaz","+41 22 772 02 01","null"
"1615370130-109","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gsund & Guet","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gsund-a-guet.html","Plattenstrasse 26, 5712 Beinwil am See","null","null"
"1615370126-108","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Gsund und Guet Laden","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/gsund-und-guet-laden.html","Hauptstrasse 19, 4133 Pratteln","+41 61 826 91 52","null"
"1615369845-29","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","Sonnhalde Gempen","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/sonnhalde-gempen.html","Haglenweg 13, 4145 Gempen","+41 61 706 80 77","null"
"1615370289-154","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","BIONAT","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bionat.html","Werdstrasse 18, 9410 Heiden","+41 71 890 00 77","null"
"1615369887-41","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","s' Radiesli","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/s-radiesli.html","Alte Simplonstrasse 7, 3900 Brig","+41 27 923 04 24","null"
"1615370384-181","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Aux saveurs des alpes","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/aux-saveurs-des-alpes.html","Rte du Rhône 12, 1963 Vétroz","+41 27 345 39 39","null"
"1615370153-116","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Garte-Chuchi","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/garte-chuchi.html","Lützelflühstrasse 17, 3452 Grünenmatt","+41 34 431 30 60","null"
"1615370184-125","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Egli Stauffachertor","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/egli-stauffachertor.html","Badenerstrasse 9, 8004 Zürich","+41 44 242 40 13","null"
"1615370081-95","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","Laden 29","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/laden-29.html","Zeughausplatz 29, 4410 Liestal","+41 61 922 11 74","null"
"1615370216-134","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","3","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page3.html","D et A diffusion Sarl","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/d-et-a-diffusion-sarl.html","Pierre Péquignat 16, 2854 Bassecourt","+41 32 423 63 10","null"
"1615369949-58","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Oasis Santé","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/oasis-sante.html","Rue Dr. Schwab 14, 2610 St-Imier","+41 32 941 44 51","null"
"1615370346-170","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Bio Market","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/bio-market.html","Via Lavizzari 7 b, 6900 Lugano","+41 91 921 14 34","null"
"1615370422-192","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","Amaltheia bioreform","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/tokala-bioladen.html","Bankweg 51 A, 5610 Wohlen AG","+41 56 426 41 74","null"
"1615370311-160","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","2","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page2.html","biofair Genossenschaft","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/biofair-genossenschaft.html","Dorfwisenstrasse 14, 8165 Schoefflisdorf","+41 44 856 18 94","null"
"1615370036-83","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Marché ""main dans la main""","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/marche-qmain-dans-la-mainq.html","La Chaussé, 1174 Montherod","+41 21 808 67 44","null"
"1615369776-9","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","5","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page5.html","vitus","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/vitus.html","Ankengasse 7, 8001 Zürich","+41 44 262 31 62","null"
"1615369987-69","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Naturlädäli","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/naturlaedaeli.html","Spielhof 9, 8750 Glarus","+41 55 640 66 09","null"
"1615370070-93","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page1.html","4","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/page4.html","Lamaventura","https://bionetz.ch/adressen/detailhandel/bio-fachgeschaefte/lamaventura.html","Reits 311a, 7173 Surrein","+41 81 943 33 72","null"
