1368842023978098689 2021-03-08 09:32:25 +0100 <bionetz_ch> Rundgang durch das Gut Rheinau  https://t.co/3pPPNA9HX4
1367030064907497473 2021-03-03 09:32:20 +0100 <bionetz_ch> Gärtnern im Einklang mit der Natur  https://t.co/ELDjzeG9Kx
1366653488919437313 2021-03-02 08:35:57 +0100 <bionetz_ch> Bio familia fördert Naturvielfalt mit WWF  https://t.co/WLSjTAs9nm
1365944136688369669 2021-02-28 09:37:14 +0100 <bionetz_ch> Bio familia fördert Naturvielfalt mit WWF  https://t.co/WLSjTAs9nm
1361298645551902720 2021-02-15 13:57:43 +0100 <bionetz_ch> Richtlinien für Fischwohl  https://t.co/xM7cWYmac6
1360148572264611842 2021-02-12 09:47:44 +0100 <bionetz_ch> Innovationen aus Hanf  https://t.co/40bAXZJ3VF
1295745702916759556 2020-08-18 17:33:44 +0100 <bionetz_ch> Pflanzenschutz für eine zukunftsfähige Landwirtschaft  https://t.co/sLld5c5wBC  https://t.co/ItdanDbLub
1272532182599335942 2020-06-15 16:11:29 +0100 <bionetz_ch> Urban Gardening: los geht's!  https://t.co/bAecz3c75k  https://t.co/1AqNB7F2pP
1270366973432606720 2020-06-09 16:47:43 +0100 <bionetz_ch> Soyana erhält den Vegan-Award  https://t.co/B51CMJ5hu2  https://t.co/TSh2yfnqpA
1267775822838091778 2020-06-02 13:11:24 +0100 <bionetz_ch> Der Gift auf unseren Tellern  https://t.co/C3aDyNYvt5  https://t.co/IY3Yi9gDsV
1267120013477056512 2020-05-31 17:45:27 +0100 <bionetz_ch> Kräuter und Gewürze  https://t.co/1i6vSzaeUK  https://t.co/1KuGvjUEiB
1265279814346240000 2020-05-26 15:53:10 +0100 <bionetz_ch> Regenerative Landwirtschaft  https://t.co/vGh3TUsn3L  https://t.co/Dy7oDsvfVr
1263827214405185536 2020-05-22 15:41:03 +0100 <bionetz_ch> Summ, summ, Bienlein summ  https://t.co/rdbXUYuPAl  https://t.co/mwijHDuQnE
1263083238274277381 2020-05-20 14:24:45 +0100 <bionetz_ch> Selberpflücken macht Spass!  https://t.co/zZmHgvWHSp  https://t.co/Hx9oPf6GL4
1260175844691054592 2020-05-12 13:51:48 +0100 <bionetz_ch> Follow the butterfly  https://t.co/8KSHUSgGWV  https://t.co/VMHz0n0VcW
1250779939521036291 2020-04-16 15:35:50 +0100 <bionetz_ch> Milchsäure tut gut  https://t.co/KGdle9MpTL  https://t.co/EYI7tHDwkM
1250055678183563264 2020-04-14 15:37:53 +0100 <bionetz_ch> Kakao-Fruchtfleisch für besseres Leben  https://t.co/OJm79fcMSx  https://t.co/nBQ5X4ozV7
1234526642833383429 2020-03-02 18:11:02 +0100 <bionetz_ch> Gastgeber in schönem Bio-Bauernhof  https://t.co/8w0JmsbVOq  https://t.co/Rojjckd3xh
1234525883148505091 2020-03-02 18:08:01 +0100 <bionetz_ch> Bio-Konfetti  https://t.co/Z7cQvhvqY4  https://t.co/XDh8wLc6xq
1230848864472719361 2020-02-21 14:36:52 +0100 <bionetz_ch> Grüner und klarer - neue Bionetz-Homepage!  https://t.co/0ZpmOBO259  https://t.co/LO9qZh5NO7
1229667047841419264 2020-02-18 08:20:44 +0100 <bionetz_ch> Jede zehnte Hektare in Deutschland ist enkeltauglich!  https://t.co/C2vnmd2H3L
1226514297305620481 2020-02-09 15:32:50 +0100 <bionetz_ch> Deal mit den Grünen?  https://t.co/APY1Eo5phL  https://t.co/s0rujXyGMp
1217015536061702149 2020-01-14 10:28:09 +0100 <bionetz_ch> Mikroplastik - nein danke!  https://t.co/netI0ZtkHT  https://t.co/PVRs6dUtih
1214569705756938240 2020-01-07 16:29:18 +0100 <bionetz_ch> Anmeldefrist für Bio Marché 2020 läuft  https://t.co/oCEX0SO5ek  https://t.co/DutCFLuh5H
1209400731029164033 2019-12-24 10:09:38 +0100 <bionetz_ch> Betriebszeiten über die Festtage  https://t.co/et5ZwdDSs0  https://t.co/xud6a5zye6
1209038402596876288 2019-12-23 10:09:52 +0100 <bionetz_ch> Die etwas andere Weihnachtsgeschichte  https://t.co/WeH3GBXoI1  https://t.co/aAbDEmTE1n
1208725740507877376 2019-12-22 13:27:28 +0100 <bionetz_ch> Deutlich mehr Bio-Ackerbauflächen in der Schweiz  https://t.co/nA5Ab6cjmY  https://t.co/U6JMVmYwco
1208004673053036544 2019-12-20 13:42:12 +0100 <bionetz_ch> Das FiBL regelt die Nachfolge von Urs Niggli  https://t.co/LTIGORLoVL  https://t.co/nv5U6RZZsR
1207608205720899584 2019-12-19 11:26:47 +0100 <bionetz_ch> Ich glaube an das Bioland Schweiz  https://t.co/PJgv4talUn  https://t.co/eZuCa6i7UO
1206511396126691328 2019-12-16 10:48:27 +0100 <bionetz_ch> Mutig vorangehen  https://t.co/Kko9tG3T1r  https://t.co/C8WK4F3nzK
1205513604625252353 2019-12-13 16:43:35 +0100 <bionetz_ch> Meine Vision ist eine nachhaltige Landwirtschaft  https://t.co/0cQdAjEiUq  https://t.co/sFqn4avDws
1204674281780711425 2019-12-11 09:08:25 +0100 <bionetz_ch> Neues Magazin des Bodenfruchtbarkeitsfonds der Bio Stiftung Schweiz erschienen  https://t.co/qrWJIATkX0  https://t.co/gh3HB9O1tT
1204406090647113730 2019-12-10 15:22:43 +0100 <bionetz_ch> Bauer Krähenbühl bleibt auf seinen Kartoffeln sitzen  https://t.co/nthsL73VDz  https://t.co/TeoJznKuj3
1203980263346323456 2019-12-09 11:10:38 +0100 <bionetz_ch> Glyphosat ab 1.1.2020 in Österreich verboten  https://t.co/YQo3wwoDSG  https://t.co/zeIf4S43ez
1203238631932080128 2019-12-07 10:03:39 +0100 <bionetz_ch> Baden soll plastikfrei werden  https://t.co/vpQLLr3rBJ  https://t.co/Vc8RmscVXc
1202584023115206657 2019-12-05 14:42:28 +0100 <bionetz_ch> Für eine Welt ohne Pestizide  https://t.co/bbqimeYzls  https://t.co/XwVkXVWfhV
1202215159214854144 2019-12-04 14:16:44 +0100 <bionetz_ch> Gold für Cuchaule au safran  https://t.co/VYw5FK7nhq  https://t.co/S7hvouiH19
1201805094620160000 2019-12-03 11:07:17 +0100 <bionetz_ch> Viel kleingewerbliche Innovationskraft  https://t.co/yIARRJDb4j  https://t.co/3IvtuvSBj8
1201485974448082944 2019-12-02 13:59:13 +0100 <bionetz_ch> Multitalent Boden  https://t.co/M0AohwVPuF  https://t.co/pc4D2EkUZt
1200340340017946624 2019-11-29 10:06:52 +0100 <bionetz_ch> Kampagne gegen Food Waste  https://t.co/uXmWBuXKZz  https://t.co/5v9bByPxHy
1199585402069422080 2019-11-27 08:07:01 +0100 <bionetz_ch> Crowdfunding für Trinkwasserinitiative  https://t.co/ocm7wDkeoW
1198888914804756480 2019-11-25 09:59:26 +0100 <bionetz_ch> Das wichtigste sind gute Standorte  https://t.co/LQm7t6Ctcf  https://t.co/rScypA49eH
1196128358670753793 2019-11-17 19:09:58 +0100 <bionetz_ch> Import: Chance für Kleinbauernfamilien  https://t.co/R5XHMYt4pu  https://t.co/eGADMKbFhv
1192105958266290177 2019-11-06 16:46:23 +0100 <bionetz_ch> «Ha-a-a-a-tschiii!» Gute Besserung  https://t.co/9KHEmS52An
1189807486401953794 2019-10-31 08:33:04 +0100 <bionetz_ch> Fehlerhafte Zulassung von Pestiziden gefährdet Biodiversität massiv  https://t.co/2Gi2d49A2n  https://t.co/l12zIyO6eX
1188863913804341251 2019-10-28 18:03:39 +0100 <bionetz_ch> Baumhöhlen für die Bienen  https://t.co/MkS4si9gKv  https://t.co/pHjtqnbmOS
1188382085158969344 2019-10-27 10:09:02 +0100 <bionetz_ch> Zeitfresser im Blick  https://t.co/3wPr1Twi8t  https://t.co/aLB2PIJYy3
1186587555363463168 2019-10-22 12:18:13 +0100 <bionetz_ch> Wo unser Essen verschwindet  https://t.co/CY6vglJxWd  https://t.co/yDRajZBOyu
1186241935977127936 2019-10-21 13:24:51 +0100 <bionetz_ch> Das Kleinod am Bahnhof – Biolade Bade  https://t.co/N2oQD0gr7A  https://t.co/RbG28a9a8q
1186239079706431488 2019-10-21 13:13:30 +0100 <bionetz_ch> Das Kleinod am Bahnhof – Biolade Bade  https://t.co/N2oQD0gr7A  https://t.co/Sw0uataf7w
1186236420601630720 2019-10-21 13:02:56 +0100 <bionetz_ch> Klimawandel und Menschenrechte  https://t.co/FnZnkG1W37  https://t.co/Ykpdas18UU
1186233856359313409 2019-10-21 12:52:45 +0100 <bionetz_ch> Öko statt Ego  https://t.co/PqYdfcUrm6  https://t.co/tzCdYVhLmT
1186231192955359232 2019-10-21 12:42:10 +0100 <bionetz_ch> Herbstzeit ist Wildzeit  https://t.co/5LJ1paEBeT  https://t.co/6UZy1Ot2OY
1186228225959251968 2019-10-21 12:30:22 +0100 <bionetz_ch> Bio-Landwirtschaft bringt Hoffnung in Bosnien  https://t.co/fuB3sxMo9M  https://t.co/8mKzGb1gUg
1186225584571064320 2019-10-21 12:19:53 +0100 <bionetz_ch> Das neue Snacking ist bio  https://t.co/vsnPV17le0  https://t.co/CGafXobwFb
1186223044265697280 2019-10-21 12:09:47 +0100 <bionetz_ch> Verbünden wir uns mit der Natur  https://t.co/AJ1284HkVg  https://t.co/mJz92CffT4
1168526271757869057 2019-09-02 16:09:08 +0100 <bionetz_ch> Die Weinwelt verändert sich  https://t.co/BhsmlnoIEI  https://t.co/EL7kSZ16SX
1163741009785819136 2019-08-20 11:14:12 +0100 <bionetz_ch> Billig, billig ist teuer!  https://t.co/Twk1ZUrfLN  https://t.co/ICVsrC20kj
1160202915409211392 2019-08-10 16:55:05 +0100 <bionetz_ch> RootUP: «Gmüs - Pflanze - Rebellion»  https://t.co/Fdylmd2re4  https://t.co/vIUB88kesX
1147420921784930304 2019-07-06 10:24:00 +0100 <bionetz_ch> Lila Wunderkraut für erholsamen Schlaf  https://t.co/79VPqgz7mB  https://t.co/FiP5OBSXKQ
1147157530910633987 2019-07-05 16:57:23 +0100 <bionetz_ch> Gleich lange Spiesse für alle  https://t.co/sfsV0kidSc  https://t.co/9SSFhEHXvx
1146048192435425280 2019-07-02 15:29:16 +0100 <bionetz_ch> Vertrauen in die Natur  https://t.co/W3UURT8yUw  https://t.co/1zdA5ecaiX
1144621367964426240 2019-06-28 16:59:34 +0100 <bionetz_ch> Naturkosmetika nach der Sonne  https://t.co/o6U1UIv0Se  https://t.co/8g7sT8bu7e
1143053522163908609 2019-06-24 09:09:31 +0100 <bionetz_ch> Essen von morgen: Insekten  https://t.co/Mte9MXaYLM  https://t.co/GNFwkClZcx
1142115837228269573 2019-06-21 19:03:29 +0100 <bionetz_ch> Schweizer Bio-Winzerin 2019  https://t.co/xmOMOBAbOE  https://t.co/8UDB0zNvav
1137640994395103233 2019-06-09 10:42:04 +0100 <bionetz_ch> Tierwohl im Schlachthof  https://t.co/xlTzyu4WV0  https://t.co/Aq3bcQ0tpx
1121498971443167232 2019-04-25 21:39:25 +0100 <bionetz_ch> Erstes Franchise-Konzept für Bioläden  https://t.co/XzNhdi81O4
1115668943199440897 2019-04-09 19:32:58 +0100 <bionetz_ch> Neue junge Produkte  https://t.co/tPBtZ1IfXf  https://t.co/RVPvNj2bwL
1113513570254426112 2019-04-03 20:48:17 +0100 <bionetz_ch> Wir sind WeltmeisterInnen in bio!  https://t.co/TTElLM2oIG  https://t.co/M7h7tCUuDD
1109472000072970241 2019-03-23 16:08:32 +0100 <bionetz_ch> Hot-Spot der Biodiversität  https://t.co/h1MpCokW9J  https://t.co/zYMYNOT4CX
1108681106025529346 2019-03-21 11:45:48 +0100 <bionetz_ch> Weniger Biodiversität trotz Millionen vom Bund  https://t.co/nEDBKipSm3  https://t.co/A0JBofUG7Q
1106464313450074112 2019-03-15 08:57:04 +0100 <bionetz_ch> Vernunft an Erde: Antibiotika Alarm!  https://t.co/vXwM1Aa8uA  https://t.co/2EaPmFvRNE
1105055094087786496 2019-03-11 11:37:20 +0100 <bionetz_ch> Syngenta-Klage von der UBI abgewiesen  https://t.co/wYbo7Nx5lU  https://t.co/9zqeRJ4dVm
1103223659341189120 2019-03-06 10:19:51 +0100 <bionetz_ch> Gesamtabsatz beim Gemüse rückläufig – Verkauf von Bio Gemüse boomt  https://t.co/hShE3j2zAs  https://t.co/zup6jmBi6i
1102567321837727745 2019-03-04 14:51:48 +0100 <bionetz_ch> Palmöl – mit Biozertifizierung zu mehr Nachhaltigkeit  https://t.co/eQuNXiO7ZH  https://t.co/G6cMnxBEMF
1102566310612004867 2019-03-04 14:47:47 +0100 <bionetz_ch> Agroscope-Chefin sieht Reduktion von Pestiziden nur mit Zulassung von GVO möglich.  https://t.co/nXZZ3yAhuX  https://t.co/rIGV5pXELu
1100322342084005889 2019-02-26 10:11:04 +0100 <bionetz_ch> Weniger Verpackung. Wie  https://t.co/r336BE77Bf-Mitglied Oeokoladen Thun dem Verpackungsmüll den Kampf angesagt hat.  https://t.co/Ou9dYIyFsX  https://t.co/5b7jMtHPLw
1097431717948862465 2019-02-18 10:44:45 +0100 <bionetz_ch> Hühnerhaltung boomt  https://t.co/NJnOX0yqGa  https://t.co/7r8ev1huWO
1095336890364964873 2019-02-12 16:00:39 +0100 <bionetz_ch> Fertigfood ist ungesund!  https://t.co/9ldk7BIrRr  https://t.co/f7s3HmpwGr
1091278159436234752 2019-02-01 11:12:42 +0100 <bionetz_ch> 2886 Unterschriften gegen Plastik im Wasser  https://t.co/2HNjTJujcg  https://t.co/mLN7FMzW8U
1090966061409800194 2019-01-31 14:32:32 +0100 <bionetz_ch> Auswärts nachhaltig essen  https://t.co/3oB1SzuFML  https://t.co/77S4laLD6W
1085118621209321477 2019-01-15 11:16:54 +0100 <bionetz_ch> Gogogo für Bio-Züchtung!  https://t.co/ib77YaCiFV  https://t.co/t7GIS1FYhL
1076018171008729089 2018-12-21 08:34:58 +0100 <bionetz_ch> Dänische Bio-Exporte boomen  https://t.co/jrY9lk6jD3  https://t.co/PcJjOuu5ME
1075304604567552000 2018-12-19 09:19:30 +0100 <bionetz_ch> Immer mehr Eier aus Schweizer Produktion  https://t.co/wsTpll6KA3  https://t.co/Yxeau4kALh
1074592433059569664 2018-12-17 10:09:35 +0100 <bionetz_ch> Petition «Insektensterben Aufklären»  https://t.co/cD45x1Trwc  https://t.co/hRs81OWgO2
1073502881960116224 2018-12-14 10:00:06 +0100 <bionetz_ch> Durchbruch für die Weideschlachtung  https://t.co/9CW7k7yze2  https://t.co/evZXKlAtFO
1072415045517262849 2018-12-11 09:57:26 +0100 <bionetz_ch> Äpfel und Birnen wunderbar  https://t.co/fowVXmHuON  https://t.co/XrVrE8nBHJ
1071050295894003712 2018-12-07 15:34:24 +0100 <bionetz_ch> Logocos wendet sich an Partner  https://t.co/CFtQ6fZhVL  https://t.co/76dvZnr5Tf
1067343283150573568 2018-11-27 10:04:03 +0100 <bionetz_ch> Landwirtschaft und Klimawandel  https://t.co/KSoq7ojn5z  https://t.co/Hau5FQ07oo
1066225256111751169 2018-11-24 08:01:25 +0100 <bionetz_ch> Glaubwürdigkeit für Bio-Importe  https://t.co/VewNfZHN10  https://t.co/k7hRULCcCn
1065921266710994944 2018-11-23 11:53:28 +0100 <bionetz_ch> Bio Symposium 2018: Klasse und Masse  https://t.co/r2cfnsjo2A  https://t.co/2AZUnwMm6l
1057663689011183616 2018-10-31 17:00:48 +0100 <bionetz_ch> Erlebniswelten und Highlights auf der BIOFACH  https://t.co/6NuU7jMrI4  https://t.co/Rjobs7Zecu
1056567717782790146 2018-10-28 16:25:48 +0100 <bionetz_ch> Ein Winzer in Richtung ganz pestizidfrei  https://t.co/70kpDNKEeJ  https://t.co/XncbEr8TLz
1053983668451053568 2018-10-21 14:17:43 +0100 <bionetz_ch> Sprit für den sportlichen Erfolg  https://t.co/HuAxVhlg5q  https://t.co/pZVhLqzcU5
1051752937150705664 2018-10-15 10:33:35 +0100 <bionetz_ch> Die Hornkuhinitiative - Fragen und Antworten  https://t.co/V5v7h3wh7S  https://t.co/9yEpNl06Pg
1047426812387704833 2018-10-03 12:03:06 +0100 <bionetz_ch> Unsere Landwirtschaft ist kein Lebensraum für Vögel mehr  https://t.co/gCTNVedUFM  https://t.co/1mE3XPRcH1
1042125986676989952 2018-09-18 20:59:31 +0100 <bionetz_ch> «Die Bauern werden vom Volk wenig geschätzt»  https://t.co/7wjNWwik3d  https://t.co/yahPNk1rXc
1040518853778911232 2018-09-14 10:33:21 +0100 <bionetz_ch> Gärtnern? Gärtnern!  https://t.co/RVHT8J2dNL  https://t.co/n3da4P9392
1039423639698001920 2018-09-11 10:01:21 +0100 <bionetz_ch> Ein Hoch auf die Vielfalt der Natur!  https://t.co/KOIAj4ObDA  https://t.co/FqvZKR26B4
1037225835864965130 2018-09-05 08:28:04 +0100 <bionetz_ch> Wie barfuss laufen  https://t.co/aX7VlInGp0  https://t.co/xL3RegQd78
1033960916470181888 2018-08-27 08:14:27 +0100 <bionetz_ch> Die Pros und Cons der Ernährungssouveränit  https://t.co/jFFTRoPbRm  https://t.co/kgkBfvPlxJ
1031508397630398465 2018-08-20 13:49:01 +0100 <bionetz_ch> Fisch: Nachhaltigkeit und Transparenz  https://t.co/iTlMNhLDhE  https://t.co/2Tsklyc8P5
1028932623886938112 2018-08-13 11:13:48 +0100 <bionetz_ch> 1001 Gemüse  https://t.co/UqxfhW6OgW  https://t.co/5Ao7B7wBmr
1018412869711466498 2018-07-15 10:32:03 +0100 <bionetz_ch> Naturkosmetik im Wettbewerb  https://t.co/xWFcXEmDmo  https://t.co/R4uF8QKkIN
1017659234501185536 2018-07-13 08:37:23 +0100 <bionetz_ch> Pestizide im Kreuzfeuer  https://t.co/QFG2ZOGPrP  https://t.co/to0DbrRWv2
1016968156651417600 2018-07-11 10:51:17 +0100 <bionetz_ch> Umstrittener Gesundheitswert der Milch  https://t.co/rMC8PQc04B  https://t.co/LIKZUqETks
1016186806046543872 2018-07-09 07:06:29 +0100 <bionetz_ch> Alternative zum Schreddern von Eintagsküken  https://t.co/zWYcGZ3ySt  https://t.co/9uv7Rh36ws
1015914286726762502 2018-07-08 13:03:35 +0100 <bionetz_ch> Mandarine gegen Stress  https://t.co/NwDd7c2egZ  https://t.co/F1x4pWZqyp
1015909238818910208 2018-07-08 12:43:31 +0100 <bionetz_ch> Wunderpflanze Soja - nachhaltig?  https://t.co/p3Hvh6GmF3
1015904005841670146 2018-07-08 12:22:44 +0100 <bionetz_ch> Mit Tierwohl und Ökologie: Rindfleisch schmeckt nur so  https://t.co/qLCOY81URT  https://t.co/TtgcgsExRP
1013344532950405122 2018-07-01 10:52:18 +0100 <bionetz_ch> Für eine Schweiz ohne synthetische Pestizide  https://t.co/VxRnJxa1UI  https://t.co/n8UHX6G0ek
1011864552965857281 2018-06-27 08:51:23 +0100 <bionetz_ch> Biologische Bewirtschaftung von Familiengärten  https://t.co/4CSguorNuH  https://t.co/pBM8wDwzvP
1007533364944015360 2018-06-15 10:00:47 +0100 <bionetz_ch> Sommer: Zeit der Märkte  https://t.co/HC2LywPUdZ  https://t.co/tkLZ9Dm5BK
1005404197070753792 2018-06-09 13:00:14 +0100 <bionetz_ch> Österreich ganz bio ist möglich  https://t.co/uR6VtDJgH5  https://t.co/Vc14kWUfAZ
1003671753955176448 2018-06-04 18:16:08 +0100 <bionetz_ch> Der Fabrikladen im neuen Glanz  https://t.co/Z7uD1EbtEu  https://t.co/WkPLiilZb5
999025404827590657 2018-05-22 22:33:12 +0100 <bionetz_ch> «Ich komme irgendwann vollständig ohne Pestizide aus»  https://t.co/BPwqijlpCf  https://t.co/90DUiKG06k
998494250668052482 2018-05-21 11:22:35 +0100 <bionetz_ch> Der Spagat zwischen Ertrag und Nachhaltigkeit  https://t.co/cSdK7H1vEq  https://t.co/FhFZCYTmni
995953395814010880 2018-05-14 11:06:08 +0100 <bionetz_ch> Weltweiter Ausmass der Bodenverschmutzung unklar  https://t.co/RKzpH1fWIO  https://t.co/ettlzGhhCJ
994851965699018754 2018-05-11 10:09:26 +0100 <bionetz_ch> Has im Gras  https://t.co/J9XMbCdc71  https://t.co/RfYBbqf1U4
993443783634292737 2018-05-07 12:53:49 +0100 <bionetz_ch> Bio-Fachmesse  https://t.co/axCVgn7nZy  https://t.co/JEVk9DQx0F
992329777724973056 2018-05-04 11:07:10 +0100 <bionetz_ch> Naturkosmetik im Trend  https://t.co/8MTg5JFiv1  https://t.co/HQBSsWY1h6
990896085752336385 2018-04-30 12:10:11 +0100 <bionetz_ch> Pestizideinsatzreduktion bei Bioland Schweiz  https://t.co/CmXpz6X3Tc
990621080615301120 2018-04-29 17:57:25 +0100 <bionetz_ch> Bio-Palmöl - was ist dran?  https://t.co/9PF8cRVFSD  https://t.co/rxpfPrcsdH
989405904520056832 2018-04-26 09:28:44 +0100 <bionetz_ch> Lidl verkauft Bio-Cannabis  https://t.co/Nz1Oplsl8F  https://t.co/RKcMVAf3DP
988453411967422464 2018-04-23 18:23:52 +0100 <bionetz_ch> Bio-vegan ist immer beliebter  https://t.co/MqkHBxkG3B  https://t.co/MV6Dw2Adna
988126524078477312 2018-04-22 20:44:56 +0100 <bionetz_ch> «Wir müssen uns zügig bewegen»  https://t.co/OJ6rYeyyUZ  https://t.co/7eDf07yV9Y
986494415060525056 2018-04-18 08:39:31 +0100 <bionetz_ch> Unsere Wildtiere werden schleichend vergiftet  https://t.co/i61WxDsZl7  https://t.co/SRrPUOoAsm
984439029256114176 2018-04-12 16:32:09 +0100 <bionetz_ch> Farmy nimmt das Prinzip des Migros-Wagens auf  https://t.co/ruA2nAorYS  https://t.co/U5yf7Lqu2L
983227324740128768 2018-04-09 08:17:16 +0100 <bionetz_ch> Landwirte setzen immmer mehr auf Folien und Netze  https://t.co/92fqleedv5  https://t.co/GhaESTcXlm
981592716214722560 2018-04-04 20:01:55 +0100 <bionetz_ch> Fleischkonsum sinkt  https://t.co/s0xhHrYZiL  https://t.co/VULcTwOzeE
980552689921740805 2018-04-01 23:09:13 +0100 <bionetz_ch> Von weltfremd bis stylisch: Der Oepfelbaum wird 30!  https://t.co/xtt2WY9YmP  https://t.co/NatYt0o3Zs
979601585507651585 2018-03-30 08:09:52 +0100 <bionetz_ch> Pionier der pestizidfreien Produktion  https://t.co/V8jzldCCbR  https://t.co/PYlm93fBIa
979274806750302208 2018-03-29 10:31:22 +0100 <bionetz_ch> Aussortiert und weggeworfen: die dunkle Seite der Eierproduktion  https://t.co/FrEWLLF5eP  https://t.co/1X1DyEubA4
977892551255617536 2018-03-25 14:58:47 +0100 <bionetz_ch> Hautfragen  https://t.co/7lfKAGAbnw  https://t.co/A9nI7jhuft
976192802941030401 2018-03-20 21:24:35 +0100 <bionetz_ch> Freispruch für Plastiktüten  https://t.co/sy52QsLy4x  https://t.co/d3YHh4j0Z1
975825244639416322 2018-03-19 21:04:02 +0100 <bionetz_ch> Migros: Nur noch Freilandeier!  https://t.co/61H3SxVhyS  https://t.co/xe5QCavuRI
974549723464876034 2018-03-16 08:35:34 +0100 <bionetz_ch> Klimafreundliche Kühe  https://t.co/gn5TQFUd0Y  https://t.co/EzznIA7qH6
973647672900046848 2018-03-13 20:51:09 +0100 <bionetz_ch> Perfekt in den Tag starten  https://t.co/p7ppEF5DDy  https://t.co/Z2moX8hkU5
971717246908321793 2018-03-08 13:00:19 +0100 <bionetz_ch> Die Biofach 2018 begeisterte  https://t.co/o5TY5fU3gP  https://t.co/c2qu5t1Fe7
971030476352905216 2018-03-06 15:31:21 +0100 <bionetz_ch> Starköchin über Winterküche  https://t.co/13xMqeZZLW  https://t.co/DoVu1xxEwJ
970299282166251520 2018-03-04 15:05:50 +0100 <bionetz_ch> Lovely wirbt mit Nachhaltigkeit  https://t.co/iS5qO5TQrb  https://t.co/XI5rCtx7f3
966974731630075904 2018-02-23 10:55:16 +0100 <bionetz_ch> Kontinuierliches Biowachstum bei Coop  https://t.co/uMyGfsERE2  https://t.co/rWr3x9PVSg
966395400826638337 2018-02-21 20:33:12 +0100 <bionetz_ch> Biofach 2018 – Für ein Bio von Anfang an.  https://t.co/edQ9DW5GTV  https://t.co/LsJNLwedfK
964159402688286726 2018-02-15 16:28:09 +0100 <bionetz_ch> Bio in Europa legt weiter zu  https://t.co/nMiBthcTRb  https://t.co/EBhmxT2Kre
958250179349700609 2018-01-30 09:07:00 +0100 <bionetz_ch> Unverpackt, der neue Trend  https://t.co/HeUUG7Hbml  https://t.co/crW24tSBdh
956437854539919360 2018-01-25 09:05:28 +0100 <bionetz_ch> Wissenswertes über Naturkosmetik  https://t.co/Bhac9jqzKC  https://t.co/aWK9MFgcMA
955361807564238848 2018-01-22 09:49:39 +0100 <bionetz_ch> Frieren Kühe im Winter?  https://t.co/7KEdTEMBX7  https://t.co/7pfeZdnQHC
954729338007629824 2018-01-20 15:56:26 +0100 <bionetz_ch> Gerne vom Hof direkt  https://t.co/nvVsV5edYv  https://t.co/13qe8anTyY
953244066594152448 2018-01-16 13:34:30 +0100 <bionetz_ch> Lidl Schweiz ist neuer Hauptsponsor Bio Marché  https://t.co/ueWgM1NtqZ  https://t.co/ImxVwQejeb
